pulsar,jname,glitch_no,mjd,df_f,df_f_err,df1_f1,df1_f1_err,reference
B1737-30,1740-3015,36,58241.0,837.9,0.7,2.0,0.3,Basu+2021 [ bsa+21 ]; also Basu+2019 [ bkj+19 ]
B1737-30,1740-3015,37,59934.8,328.3,0.5,1.37,0.18,Our measurement; ; also in Zubieta+2024 [ zgp+24 ] and Grover+2024 [ gjs+24 ]
B1737-30,1740-3015,38,60980.0,2810.0,3.0,,,Shaw+2025 [ bak+25 ]; Also in Grover+25 [ gjk+25 ]
J1737-3102,1737-3102,1,57087.0,18.0,1.0,,,Basu+2021 [ bsa+21 ]
J1737-3137,1737-3137,1,51559.0,4.0,1.0,0.0,1.0,Espinoza+2011 [ elsk11 ]
J1737-3137,1737-3137,2,53040.0,234.0,1.0,2.9,0.2,Espinoza+2011 [ elsk11 ]
J1737-3137,1737-3137,3,54348.0,1342.4,0.2,1.4,0.2,"Espinoza+2011 [ elsk11 ], also in Weltevrede+2010 [ wjm+10 ], Yu+2012 [ ymh+12 ]"
J1737-3137,1737-3137,4,57115.0,7.0,0.7,0.0,,Basu+2021 [ bsa+21 ]; also in Lower+2021 [ ljd+21 ]
J1737-3137,1737-3137,5,58147.0,4498.0,1.0,1.3,0.1,Basu+2021 [ bsa+21 ]; also in Lower+2021 [ ljd+21 ]
J1737-3137,1737-3137,6,58858.8,1.53,0.07,0.5,0.18,New - Our measurement; also in Lower+2021 [ ljd+21 ]
J1737-3137,1737-3137,7,59848.0,215.6,0.6,1.22,0.25,New - Our measurement
B1740-31,1743-3150,1,49572.0,2.2,0.4,2.0,1.0,Espinoza+2011 [ elsk11 ]
J1740+1000,1740+1000,1,54747.6,1.2,0.4,1.0,1.0,Espinoza+2011 [ elsk11 ]
J1740+1000,1740+1000,2,56164.0,2910.9,0.4,11.0,1.0,Basu+2021 [ bsa+21 ]
J1746-2856,1746-2856,1,57038.0,24.4,0.4,2.1,0.32,Basu+2021 [ bsa+21 ]
J1751-3323,1751-3323,1,53004.0,2.3,0.3,-1.0,1.0,Yuan+2010 [ ywml10 ]
J1751-3323,1751-3323,2,54435.0,3.0,1.0,-1.0,3.0,Yuan+2010 [ ywml10 ]
J1751-3323,1751-3323,3,57019.0,13.0,1.0,-5.0,2.0,Basu+2021 [ bsa+21 ]
J1751-3323,1751-3323,4,58438.0,3.4,0.8,27.0,4.0,Basu+2019 [ bkj+19 ]
B1754-24,1757-2421,1,55716.0,7807.0,1.0,6.3,0.5,Basu+2021 [ bsa+21 ]
B1757-24,1801-2451,1,49476.0,1987.9,0.3,4.6,0.1,"Espinoza+2011 [ elsk11 ], also inWang+2000 [ wmp+00 ], Yu+2012 [ ymh+12 ]"
B1757-24,1801-2451,2,50651.0,1247.4,0.3,4.7,0.2,"Espinoza+2011 [ elsk11 ], also inWang+2000 [ wmp+00 ], Yu+2012 [ ymh+12 ]"
B1757-24,1801-2451,3,52055.0,3755.8,0.4,6.8,0.1,"Espinoza+2011 [ elsk11 ], also in Yu+2012 [ ymh+12 ]"
B1757-24,1801-2451,4,53033.25,17.4,0.2,1.4,0.1,"Espinoza+2011 [ elsk11 ], also in Yu+2012 [ ymh+12 ]"
B1757-24,1801-2451,5,54661.0,3101.0,1.0,9.3,0.1,"Espinoza+2011 [ elsk11 ], also in Weltevrede+2010 [ wjm+10 ], Yu+2012 [ ymh+12 ]"
B1757-24,1801-2451,6,56979.0,2413.0,0.4,5.3,0.8,Basu+2021 [ bsa+21 ]; also in Lower+2021 [ ljd+21 ]
B1757-24,1801-2451,7,58564.76,2250.9,2.8,3.82,0.15,New - Our measurement
B1758-03,1801-0357,1,48000.0,3.1,0.1,2.0,2.0,"Espinoza+2011 [ elsk11 ], also in Krawczyk+2003 [ klgj03 ]"
B1758-23,1801-2304,1,46907.0,216.3,0.2,-0.5,0.1,"Espinoza+2011 [ elsk11 ], also in Kaspi+1993 [ klm+9 ]"
B1758-23,1801-2304,2,47855.0,230.7,0.3,-0.3,0.2,"Espinoza+2011 [ elsk11 ], also in Kaspi+1993 [ klm+9 ]"
