pulsar,jname,glitch_no,mjd,df_f,df_f_err,df1_f1,df1_f1_err,reference
B1859+01,1901+0156,1,51318.0,42.4,0.1,0.8,0.1,Espinoza+2011 [ elsk11 ]
B1859+01,1901+0156,2,58149.0,1053.02,0.06,2.1,0.4,Basu+2021 [ bsa+21 ]
B1859+07,1901+0716,1,46860.95,28.0,1.0,119.9,58.3,"Espinoza+2011 [ elsk11 ], also in Shemar+1996 [ sl96 ]"
B1900+06,1902+0615,1,48653.7,0.4,0.1,0.1,0.3,Espinoza+2011 [ elsk11 ]
B1900+06,1902+0615,2,49447.0,0.3,0.1,-0.1,0.4,Espinoza+2011 [ elsk11 ]
B1900+06,1902+0615,3,50316.0,0.3,0.1,0.5,0.3,Espinoza+2011 [ elsk11 ]
B1900+06,1902+0615,4,51136.0,0.4,0.1,-0.4,0.4,Espinoza+2011 [ elsk11 ]
B1900+06,1902+0615,5,54239.0,0.26,0.03,-0.7,0.4,"Espinoza+2011 [ elsk11 ] also, in Yuan+2010 [ ywml10 ]"
B1900+06,1902+0615,6,55436.0,0.19,0.03,,,Basu+2021 [ bsa+21 ]
B1900+06,1902+0615,7,58675.0,0.57,0.02,-0.53,0.05,New - Our measurement
J1904-1629,1904-1629,1,59553.0,4.26,0.09,2.1,0.7,New - Our measurement
B1907-03,1910-0309,1,48252.0,0.5,0.1,0.0,2.0,"Espinoza+2011 [ elsk11 ], also in Krawczyk+2003 [ klgj03 ]"
B1907-03,1910-0309,2,49228.2,2.5,0.1,2.0,1.0,"Espinoza+2011 [ elsk11 ], also in Krawczyk+2003 [ klgj03 ]"
B1907-03,1910-0309,3,53231.14,2.7,0.1,3.0,2.0,Espinoza+2011 [ elsk11 ]
B1907+00,1909+0007,1,49530.0,0.4,0.1,3.0,2.0,Espinoza+2011 [ elsk11 ]
B1907+00,1909+0007,2,51224.0,0.2,0.1,2.0,1.0,Espinoza+2011 [ elsk11 ]
B1907+00,1909+0007,3,53546.0,0.5,0.1,3.0,2.0,Espinoza+2011 [ elsk11 ]
B1907+03,1910+0358,1,52321.0,1.3,0.3,9.0,11.0,Espinoza+2011 [ elsk11 ]
J1907+0602,1907+0602,1,55422.0,4660.0,,,,Belfore+2011 [ 3rd Fermi symp. ]
J1907+0602,1907+0602,2,55866.0,1.49,0.32,-0.26,-0.01,Xing+2014 [ xw14 ]
J1907+0631,1907+0631,1,56987.0,2106.0,2.0,5.0,0.5,Basu+2021 [ bsa+21 ]
J1907+0631,1907+0631,2,57901.0,4986.0,5.0,4.7,0.7,Basu+2021 [ bsa+21 ]
J1909+0749,1909+0749,1,57491.0,2904.2,0.9,3.7,0.2,Basu+2021 [ bsa+21 ]
B1907+10,1909+1102,1,52700.0,0.3,0.1,1.0,1.0,Yuan+2010 [ ywml10 ]
J1909+0912,1909+0912,1,54977.0,4.4,0.3,0.09,0.08,Basu+2021 [ bsa+21 ]
J1909+0912,1909+0912,2,57552.0,7389.8,0.3,4.58,0.09,Basu+2021 [ bsa+21 ]
B1911+11,1914+1122,1,57693.0,0.26,0.01,0.36,0.09,New - Our measurement
J1913+0446,1913+0446,1,53500.0,6.5,0.2,1.4,0.2,Espinoza+2011 [ elsk11 ]
J1913+0446,1913+0446,2,55367.0,2.5,0.2,,,Basu+2021 [ bsa+21 ]
J1913+0446,1913+0446,3,56553.0,0.8,0.2,0.2,0.1,Basu+2021 [ bsa+21 ]
J1913+0832,1913+0832,1,54653.908,38.0,1.0,6.0,3.0,Espinoza+2011 [ elsk11 ]
J1913+0904,1913+0904,1,56132.8,3.2,0.2,,,Basu+2021 [ bsa+21 ]
J1913+1000,1913+1000,1,56600.0,491.0,1.0,,,Basu+2021 [ bsa+21 ]
B1913+10,1915+1009,1,54154.0,2.7,0.1,0.4,0.3,"Espinoza+2011 [ elsk11 ] also, in Yuan+2010 [ ywml10 ]"
J1913+1011,1913+1011,1,54431.0,0.2,0.2,0.1,0.4,Espinoza+2011 [ elsk11 ]
B1913+16,1915+1606,1,52770.0,0.037,0.001,,,Weisberg+2010 [ wnt10 ]
B1917+00,1919+0021,1,50176.6,1.9,0.2,10.0,4.0,"Espinoza+2011 [ elsk11 ], also in Krawczyk+2003 [ klgj03 ]"
J1921+0812,1921+0812,1,55367.0,3632.9,0.1,3.0,0.7,Basu+2021 [ bsa+21 ]
B1923+04,1926+0431,1,51495.0,0.08,0.02,-0.2,0.1,Espinoza+2011 [ elsk11 ]
B1930+22,1932+2220,1,45989.0,629.0,9.0,,,Espinoza+2011 [ elsk11 ]
B1930+22,1932+2220,2,46906.0,4427.0,7.0,,,Espinoza+2011 [ elsk11 ]
B1930+22,1932+2220,3,50253.0,4472.0,1.0,12.2,0.3,"Espinoza+2011 [ elsk11 ], also in Krawczyk+2003 [ klgj03 ]"
J1931+1817,1931+1817,1,58392.0,8.4,0.5,0.5,0.1,New - Our measurement
J1931+1817,1931+1817,2,59018.0,29.23,0.26,,,New - Our measurement
B1933+16,J1935+1616,1,60481.65,0.72,0.05,-4.0,5.0,New - Our measurement
B1935+25,1937+2544,1,52032.0,0.03,0.01,0.1,0.1,Espinoza+2011 [ elsk11 ]
J1935+2025,1935+2025,1,59178.0,93.0,6.0,,,Keith+2024 [ kjk+24 ]
J1935+2025,1935+2025,2,59591.0,2840.0,40.0,,,Keith+2024 [ kjk+24 ]
B1946-25,1949-2524,1,50056.0,0.09,0.01,0.05,0.02,New - Our measurement
J1948+2819,1948+2819,1,59322.0,0.54,0.13,0.01,0.05,New - Our measurement
B1951+32,1952+3252,1,51967.0,2.3,0.1,-0.2,0.1,Janssen+2006 [ js06 ]
B1951+32,1952+3252,2,52385.0,0.7,0.1,0.0,0.1,Janssen+2006 [ js06 ]
B1951+32,1952+3252,3,52912.0,1.3,0.1,0.3,0.1,Janssen+2006 [ js06 ]
B1951+32,1952+3252,4,53305.0,0.5,0.1,0.1,0.1,Janssen+2006 [ js06 ]
B1951+32,1952+3252,5,54103.44,5.2,0.2,0.0,0.4,Espinoza+2011 [ elsk11 ]
B1951+32,1952+3252,6,55328.0,1489.9,0.4,5.4,0.4,Basu+2021 [ bsa+21 ]
B1953+50,1955+5059,1,46964.0,0.04,0.01,-0.6,0.1,Espinoza+2011 [ elsk11 ]
B1953+50,1955+5059,2,49038.0,0.021,0.004,-0.1,0.1,Espinoza+2011 [ elsk11 ]
J1954+2529,1955+2529,1,58813.0,0.26,0.05,3.1,3.2,New - Our measurement
J1957+2831,1957+2831,1,52485.0,0.3,0.1,0.6,0.3,Espinoza+2011 [ elsk11 ]
J1957+2831,1957+2831,2,52912.0,0.13,0.03,0.3,0.2,Espinoza+2011 [ elsk11 ]
J1957+2831,1957+2831,3,54692.8,5.8,0.3,5.0,6.0,Espinoza+2011 [ elsk11 ]
J1957+2831,1957+2831,4,56897.3,2.25,0.06,1.3,0.5,Basu+2021 [ bsa+21 ]
J2004+3427,2004+3427,1,60337.0,4376.0,11.0,6.6,0.9,New - Our Measurement
J2005-0020,2005-0020,1,55976.0,12.5,0.6,,,Basu+2021 [ bsa+21 ]
J2021+3651,2021+3651,1,52630.1,2587.0,2.0,6.2,0.2,Hessels+2004 [ hrr+04 ]
J2021+3651,2021+3651,2,54177.0,745.0,6.0,5.5,0.1,Espinoza+2011 [ elsk11 ]
J2021+3651,2021+3651,3,55110.0,2228.8,0.9,8.5,0.7,Basu+2021 [ bsa+21 ]
J2021+3651,2021+3651,4,57200.0,3069.0,2.0,10.2,0.9,Basu+2021 [ bsa+21 ]
J2021+3651,2021+3651,5,58668.0,1186.5,0.8,4.63,0.06,New - Our measurement
J2021+3651,2021+3651,6,60289.0,2523.6,0.5,6.2,0.4,New - Our measurement
B2020+28,2022+2854,1,47409.0,0.13,0.02,0.5,0.1,New - Our measurement
B2021+51,2022+5154,1,58311.0,0.33,0.04,-0.83,0.15,New - Our measurement
J2022+3842,2022+3842,1,54680.0,1900.0,,,,Arzoumanian+2011 [ agr+11 ]
B2027+37,2029+3744,1,56993.6,6.2,0.2,,,Basu+2021 [ bsa+21 ]
J2032+4127,2032+4127,1,55820.0,273.3,0.1,1.06,0.04,Basu+2021 [ bsa+21 ]
J2032+4127,2032+4127,2,59496.0,36.15,0.04,1.21,0.11,New - Our measurement
J2111+4606,2111+4606,1,55700.0,1091.5,1.4,3.65,0.13,G&#252;gercino&#287;lu+22 [ ggyz22 ]
J2111+4606,2111+4606,2,57562.0,3258.0,1.0,7.1,1.7,G&#252;gercino&#287;lu+22 [ ggyz22 ]
B2113+14,2116+1414,1,47989.0,0.26,0.04,8.0,3.0,Espinoza+2011 [ elsk11 ]
B2113+14,2116+1414,2,58627.0,0.4,0.023,1.9,0.5,New - Our measurement
B2217+47,2219+4754,1,55857.4,1.16,0.02,0.4,0.3,Basu+2021 [ bsa+21 ]
B2224+65,2225+6535,1,43072.0,1707.0,1.0,3.0,5.0,Backus+1982 [ btd82 ]
B2224+65,2225+6535,2,51900.0,0.14,0.03,-2.9,0.2,Janssen+2006 [ js06 ]
B2224+65,2225+6535,3,52950.0,0.08,0.04,-1.4,0.2,Janssen+2006 [ js06 ]
B2224+65,2225+6535,4,53434.0,0.2,0.1,,,Janssen+2006 [ js06 ]
B2224+65,2225+6535,5,54266.0,0.4,0.1,-0.8,0.4,Yuan+2010 [ ywml10 ]
B2224+65,2225+6535,6,60280.0,3764.18,0.07,7.85,0.17,New - Our measurement
J2229+6114,2229+6114,1,53064.0,1139.3,0.3,12.5,0.1,Espinoza+2011 [ elsk11 ]
J2229+6114,2229+6114,2,54110.0,327.0,4.0,-3.0,6.0,Espinoza+2011 [ elsk11 ]
J2229+6114,2229+6114,3,54781.54,4.5,0.2,0.1,0.1,Espinoza+2011 [ elsk11 ]; also in G&#252;gercino&#287;lu+22 [ ggyz22 ]
J2229+6114,2229+6114,4,55134.0,198.4,0.6,6.3,0.4,Basu+2021 [ bsa+21 ]; also in G&#252;gercino&#287;lu+22 [ ggyz22 ]
J2229+6114,2229+6114,5,55601.0,1223.6,0.6,13.0,0.5,Basu+2021 [ bsa+21 ]; also in G&#252;gercino&#287;lu+22 [ ggyz22 ]
J2229+6114,2229+6114,6,56362.0,66.0,0.0,3.2,0.5,Basu+2021 [ bsa+21 ]; also in G&#252;gercino&#287;lu+22 [ ggyz22 ]
J2229+6114,2229+6114,7,56797.0,850.0,1.0,11.3,0.1,G&#252;gercino&#287;lu+22 [ ggyz22 ]
J2229+6114,2229+6114,8,58424.0,1047.1,0.9,12.4,0.6,Basu+2021 [ bsa+21 ]; also in G&#252;gercino&#287;lu+22 [ ggyz22 ]
J2229+6114,2229+6114,9,59262.0,283.9,1.1,6.5,0.6,New - Our measurement ; also in G&#252;gercino&#287;lu+22 [ ggyz22 ]
B2255+58,2257+5909,1,49488.2,0.75,0.04,1.0,0.3,"Espinoza et al. (2011) [ elsk11 ], also in Krawczyk et al. (2003) [ klgj03 ]"
1E_2259+586,2301+5852,1,52443.9,4104.0,28.0,1111.0,71.0,Kaspi+2003 [ kgw+03 ]
1E_2259+586,2301+5852,2,53750.0,30.8,3.5,,,Icdem+2012 [ ibi12 ]
1E_2259+586,2301+5852,3,54040.0,11167.0,,,,Icdem+2012 [ ibi12 ]
1E_2259+586,2301+5852,4,54184.9032,880.0,3.0,,,"Dib+2014 [ dk14 ], also in Icdem+2012 [ ibi12 ]"
1E_2259+586,2301+5852,5,54880.0,-14.0,1.0,-29.3,22.2,Icdem+2012 [ ibi12 ]
B2323+63,2325+6316,1,53957.0,0.21,0.02,-0.32,0.04,Basu+2021 [ bsa+21 ]
B2334+61,2337+6151,1,53642.0,20470.0,1.0,23.8,0.4,"Espinoza+2011 [ elsk11 ], also in Yuan+2010 [ ymw+10 ]"
J2346-0609,2346-0609,1,57495.0,0.55,0.01,2.4,0.4,Basu+2021 [ bsa+21 ]
M82-X2,0955+6940,1,56685.8,20000.0,,,,Bachetti+2019 [ bmb+19 ]
