# Source: Michon et al., Nat. Commun. 14, 3033 (2023), doi:10.1038/s41467-023-38762-5
# Open data: Yareta (University of Geneva), DOI 10.26037/yareta:zvtvqwmbl5emvd3bxr6sluurqi (CC-BY-4.0)
# Archive member: researchdata/for-yareta/experimental-data/Epsilon_LSCO-0p24.txt
# Fetched by scripts/fetch_michon2023.py; content below is verbatim.
#
# Complex relative dielectric function of La(2-x)Sr(x)CuO(4) at x=0.24 versus
# energy at temperatures T = [9,15,20,30,40,50,60,75,100,150,200,250,300] Kelvin
#
# Energy (eV)	Eps1 9K	Eps2 9K	Eps1 15K	Eps2 15K	Eps1 20K	Eps2 20K	Eps1 30K	Eps2 30K	Eps1 40K	Eps2 40K	Eps1 50K	Eps2 50K	Eps1 60K	Eps2 60K	Eps1 75K	Eps2 75K	Eps1 100K	Eps2 100K	Eps1 150K	Eps2 150K	Eps1 200K	Eps2 200K	Eps1 250K	Eps2 250K	Eps1 300K	Eps2 300K
#
0.0044234777	-90528.829	4502.0596	-118217.42	-4067.2751	-125924.16	670.30511	-113831.88	-9642.1084	-93561.468	-7179.1880	-96301.662	-9011.8359	-77862.251	-1086.4185	-35528.718	27545.555	-9645.7499	19739.686	-9703.0463	17837.014	-4336.8976	13127.818	-1623.0634	9060.1914	-813.81351	5921.0415
0.0045431214	-85430.366	14232.824	-101787.89	5368.5635	-109255.53	4157.2832	-97576.683	304.81091	-82404.456	-2366.5281	-83294.436	-8465.1582	-69494.390	-916.06506	-33177.052	26436.262	-9080.1532	20760.895	-8912.2256	18488.486	-3738.1434	13280.646	-1062.6487	9282.6982	-244.69251	6283.8892
0.0046626413	-89181.046	20948.625	-99189.559	16369.403	-103905.78	15631.452	-92873.861	10270.799	-77404.080	5510.2920	-74808.476	-1023.1306	-62633.293	3929.4316	-30309.771	24858.771	-10098.283	20131.725	-9454.6673	17831.041	-4059.0209	12901.938	-1385.6742	9338.0049	-630.33587	6568.5244
0.0047821612	-101147.17	21861.090	-111654.84	23595.795	-115206.59	24539.867	-98963.664	19291.635	-78963.488	11355.725	-73200.138	6068.2773	-60079.964	9735.0127	-26468.606	24875.109	-9167.9604	18329.551	-8306.8805	16326.596	-3552.8869	11788.252	-1332.9728	8618.9063	-669.20853	5954.4629
0.0049018054	-106132.98	-3459.5889	-117925.12	-8121.5864	-124740.85	-4408.7139	-106128.25	3806.6245	-81206.939	7094.0015	-74025.364	6171.4810	-60580.640	12241.041	-23748.457	26839.744	-6911.7616	18128.432	-6011.7463	16360.030	-2038.1546	11406.598	-492.91715	8176.9233	64.556474	5583.9526
0.0050213253	-81709.012	-16765.215	-88277.344	-18867.334	-96159.231	-19883.764	-90666.403	-6847.7827	-75653.173	3229.5327	-71673.755	4908.7119	-61028.576	12379.422	-24057.671	28673.336	-6560.0143	19359.055	-5632.1953	17836.861	-1366.5332	12280.814	-34.034819	8599.6621	401.41332	6056.4829
0.0051408452	-69041.549	-4546.5103	-78352.089	-1096.6875	-83944.806	-3652.0383	-82419.648	3791.5320	-72011.101	7888.1411	-69936.613	6604.7485	-60823.268	11509.502	-25511.928	28365.926	-7948.5696	19428.635	-7211.3749	18182.062	-2194.3186	12997.510	-442.12218	9018.1504	-22.633111	6420.9224
0.0052603651	-69963.234	3057.6277	-86706.661	4219.6987	-88773.363	1719.7778	-88219.975	6840.1992	-75368.619	8449.1602	-70101.818	4747.8110	-60036.925	9724.4385	-25571.697	26857.850	-8041.3768	17915.457	-7579.8828	16698.346	-2812.4387	12286.283	-771.11246	8605.8916	-286.67132	6030.9941
0.0053800088	-70760.741	-3770.5745	-80833.716	-17738.240	-85303.992	-13922.704	-88108.762	-9213.0215	-75810.587	-1043.7590	-68318.401	982.32587	-59160.690	8009.2305	-24791.034	26474.236	-6660.6921	17355.629	-6421.0440	15996.481	-2274.7189	11636.121	-395.38863	8208.9180	-47.137188	5699.3867
0.0054995287	-59380.424	-8045.1782	-60557.287	-14656.901	-66450.733	-15008.146	-70775.657	-15499.003	-65882.671	-7670.7271	-62988.975	-3166.1523	-56790.448	3391.8433	-25934.575	25474.863	-6571.9929	17922.582	-6280.7666	16349.992	-2131.2795	11839.363	-289.91931	8458.7783	62.117177	5776.4189
0.0056190486	-52516.710	782.44958	-54427.857	-634.92883	-59148.114	-1438.9174	-60377.108	-6724.8149	-56431.372	-4710.7485	-55543.781	-3278.9651	-50131.992	617.46002	-26194.889	21975.076	-7650.1299	17503.787	-7234.3671	15867.898	-2860.1898	11720.898	-848.69922	8529.9082	-136.04662	5789.4961
0.0057386928	-53993.104	7756.3525	-58435.965	8816.2207	-62241.788	8005.2871	-58827.387	1570.4009	-52660.530	1269.4883	-51003.232	1210.0204	-44225.462	3738.3938	-23063.828	19765.215	-7388.9087	16040.546	-6947.8003	14392.183	-2955.0671	10688.596	-1081.7108	7858.1846	-233.98930	5468.9185
0.0058582127	-58833.136	5889.9268	-67667.451	5570.0200	-71594.398	6939.4048	-63783.244	5014.5952	-55153.776	5938.9521	-52416.583	6053.3506	-43647.539	9390.2891	-19935.810	20971.719	-5943.1084	15615.917	-5412.5030	13920.332	-1990.5980	10094.555	-552.33921	7343.8398	61.268947	5173.4639
0.0059777326	-55506.687	-1308.0762	-62634.804	-7911.9214	-68673.640	-8166.2212	-64285.116	-4906.1406	-57220.716	-684.42310	-54584.648	701.52820	-47134.749	7812.1152	-20575.805	22384.576	-5550.7851	16405.055	-4803.6564	14720.712	-1395.5891	10542.090	-139.81695	7550.1094	352.29063	5294.9180
0.0060972525	-49207.343	709.66229	-52821.456	-5497.5098	-57568.450	-7677.0601	-55155.460	-7196.1128	-50619.784	-4577.0527	-49021.813	-3264.2610	-44909.691	2384.1431	-22319.793	20773.400	-6756.6014	16643.346	-5906.4067	15165.810	-2030.9359	11115.002	-505.38744	7956.6064	151.91972	5627.4443
0.0062168962	-48052.049	4878.8682	-50075.405	-560.30908	-53597.981	-2484.6006	-50633.617	-2281.1853	-45272.036	-1928.3676	-43662.494	-1369.1962	-39591.738	2369.4082	-21125.256	18375.467	-7387.1040	15307.897	-6589.8692	14003.440	-2749.6468	10507.611	-1045.4592	7596.3232	-275.22387	5463.1040
0.0063364166	-50239.184	4643.4834	-51064.261	230.79602	-53778.344	-1247.4460	-50372.695	-565.30634	-43312.757	495.85638	-41469.943	1310.0275	-36552.134	4590.1338	-18891.379	17715.605	-6544.6371	14121.809	-5865.9661	12864.586	-2483.3974	9600.0479	-945.54622	6918.9331	-277.08441	4980.1357
0.0064559365	-48077.896	-527.11835	-47895.951	-4211.4775	-50936.411	-4620.2114	-48400.678	-2666.4917	-42112.391	907.79163	-40596.810	2089.8633	-35809.503	6579.0640	-17534.017	18334.969	-5416.4233	14107.473	-4769.4920	12811.311	-1735.3114	9372.1328	-409.25535	6655.0444	76.154233	4754.1494
0.0065755802	-43048.855	580.68884	-41625.278	-2553.0327	-44638.354	-3787.9673	-43757.791	-2291.7542	-39471.815	823.74872	-38796.528	1952.2611	-35529.322	6145.1543	-17748.942	18323.598	-5671.1434	14503.838	-4937.5182	13233.047	-1763.2763	9711.8867	-331.75376	6907.4990	115.89181	4929.1094
