burst_id,mjd_bary,fluence_jyms,energy_1e36erg
186,59880.516498891,0.07,5.03
187,59880.516499155,0.389,28.09
188,59880.516850979,0.3,21.65
189,59880.517039116,0.107,7.71
190,59880.517175728,0.085,6.13
191,59880.517243589,1.155,83.34
192,59880.517407570,0.016,1.17
193,59880.517637160,0.014,1.04
194,59880.517670051,1.285,92.71
195,59882.527851343,0.071,5.1
196,59882.528053467,0.046,3.35
197,59882.528192558,0.404,29.16
198,59882.528232780,0.066,4.77
199,59882.528237782,0.092,6.64
200,59882.528323288,1.49,107.52
201,59882.528481094,0.745,53.74
202,59882.528726553,0.115,8.29
203,59882.528730099,0.789,56.92
204,59882.528742669,0.306,22.05
205,59882.528997244,0.028,2.04
206,59882.529064396,0.424,30.57
207,59882.529225096,0.26,18.78
208,59882.529603557,0.074,5.35
209,59882.529667983,1.244,89.76
210,59882.529742275,0.78,56.28
211,59882.529821865,0.874,63.05
212,59882.529852635,0.193,13.94
213,59882.529913132,0.907,65.4
214,59882.530282150,0.097,7.03
215,59882.531295569,0.034,2.49
216,59882.531339023,5.077,366.28
217,59882.531470955,3.294,237.63
218,59882.531471347,0.151,10.86
219,59882.531709638,4.365,314.89
220,59882.531769772,0.022,1.57
221,59882.532283511,0.381,27.49
222,59882.532574063,0.017,1.24
223,59882.532763438,1.112,80.19
224,59882.532896564,1.336,96.37
225,59882.532964079,0.159,11.44
226,59882.532985433,29.33,2115.79
227,59882.532986316,0.204,14.72
228,59882.533206831,0.281,20.24
229,59882.533290044,1.626,117.31
230,59882.533290449,0.386,27.82
231,59882.533290932,0.218,15.71
232,59882.533291155,1.898,136.91
233,59882.533333065,1.095,79.02
234,59882.533887213,2.587,186.59
235,59882.533889429,0.198,14.31
236,59882.534589281,0.352,25.39
237,59882.534650721,0.749,54.03
238,59882.534811043,5.161,372.3
239,59882.535053736,0.579,41.76
240,59882.535071557,0.058,4.17
241,59882.535399916,0.206,14.89
242,59882.535400175,0.777,56.02
243,59882.535400366,0.181,13.05
244,59882.535400840,0.062,4.5
245,59882.535402409,0.075,5.38
246,59882.535429416,1.491,107.56
247,59882.535514008,0.471,33.99
248,59882.535552323,7.227,521.36
249,59882.535573696,4.827,348.18
250,59882.535708759,0.717,51.71
251,59882.535808806,0.122,8.81
252,59882.536195126,1.09,78.64
253,59882.536614235,0.011,0.8
254,59882.536849314,0.03,2.19
255,59882.536855097,0.135,9.74
256,59882.536867633,0.174,12.56
257,59882.536868001,0.69,49.79
258,59882.537345944,2.802,202.14
259,59882.537457150,0.253,18.26
260,59882.537683372,0.418,30.14
261,59882.537871364,0.84,60.56
262,59882.537873995,0.267,19.25
263,59882.537893638,0.017,1.24
264,59882.537894111,0.21,15.13
265,59882.538607635,0.556,40.12
266,59882.538607776,0.043,3.1
267,59882.538611462,1.134,81.78
268,59882.538641773,0.144,10.38
269,59882.538720602,0.403,29.06
270,59882.538852603,0.051,3.65
271,59882.539236143,1.174,84.7
272,59882.539506597,3.405,245.62
273,59882.539515568,1.24,89.42
274,59882.539569708,0.515,37.14
275,59882.539669732,1.626,117.28
276,59882.539698199,0.132,9.49
277,59882.539860697,0.718,51.81
278,59882.539861552,0.114,8.23
279,59882.540013396,0.502,36.23
280,59882.540115522,0.137,9.85
281,59882.540442160,0.205,14.81
282,59882.540739735,0.602,43.45
283,59882.540740859,1.557,112.33
284,59882.540740987,0.045,3.23
285,59882.540763245,0.48,34.65
286,59882.541872547,1.529,110.3
287,59882.542136361,0.083,5.97
288,59882.542191221,0.526,37.94
289,59882.542191935,5.753,415.01
290,59882.542278975,2.309,166.57
291,59882.542618779,0.732,52.82
292,59882.542927126,3.111,224.44
293,59882.542972678,1.571,113.32
294,59882.544171217,0.162,11.69
295,59882.544238005,0.528,38.09
296,59882.544286525,1.461,105.43
297,59882.544574160,0.076,5.47
298,59882.544677788,0.493,35.56
299,59882.544723905,1.868,134.79
300,59882.544776962,0.016,1.15
301,59882.544839166,0.137,9.86
302,59882.545069616,0.041,2.92
303,59882.545766678,0.415,29.94
304,59882.545796788,0.213,15.4
305,59882.546009357,0.012,0.84
306,59882.546080541,2.135,154.0
307,59882.546095287,2.838,204.74
308,59882.546105122,1.667,120.23
309,59882.546157878,0.471,34.01
310,59882.546245772,0.019,1.36
311,59882.546276544,0.032,2.34
312,59882.546549556,2.151,155.18
313,59882.547045213,2.037,146.91
314,59882.547122363,0.053,3.84
315,59882.547294918,0.113,8.14
316,59882.547316327,1.733,125.01
317,59882.547316700,0.045,3.22
318,59882.547396873,0.33,23.82
319,59882.547463060,0.058,4.19
320,59882.547464125,0.084,6.07
321,59882.547467215,0.071,5.13
322,59882.547615599,0.016,1.13
323,59882.547943393,2.389,172.34
324,59882.548233248,0.139,10.0
325,59882.548435914,0.854,61.58
326,59882.548642425,0.047,3.37
327,59882.548917089,2.291,165.26
328,59882.548969818,0.06,4.31
329,59882.548970228,2.017,145.5
330,59882.549115240,0.623,44.94
331,59882.549468593,0.697,50.3
332,59882.549607079,0.446,32.15
333,59882.549609877,0.329,23.77
334,59882.550195292,1.912,137.95
335,59882.550570708,1.271,91.71
336,59882.550613072,1.754,126.56
337,59882.550655782,0.432,31.19
338,59882.550656292,0.42,30.32
339,59882.550776896,0.278,20.07
340,59882.550800521,0.283,20.44
341,59882.551092042,4.934,355.92
342,59882.551230332,1.741,125.57
343,59882.551230750,0.671,48.4
344,59882.551377998,0.532,38.38
345,59882.551383965,0.418,30.18
346,59882.551401285,0.068,4.88
347,59882.551450925,0.197,14.19
348,59882.551522300,0.492,35.53
349,59882.551561362,0.086,6.19
350,59882.551574833,0.228,16.47
351,59882.551585702,0.281,20.3
352,59882.551958820,0.061,4.38
353,59882.552289894,0.047,3.4
354,59882.552649683,0.4,28.89
355,59882.552705735,0.035,2.5
356,59882.552805636,0.049,3.53
357,59882.552916715,0.437,31.54
358,59882.553093052,0.556,40.12
359,59882.553174604,4.856,350.32
360,59882.553557603,6.03,434.97
361,59882.553563300,0.833,60.06
362,59882.553934744,0.327,23.62
363,59882.554608896,0.125,9.03
364,59882.554609223,0.856,61.78
365,59882.554609551,1.606,115.89
366,59882.555003072,0.013,0.94
367,59882.555413227,0.079,5.67
368,59882.555533239,0.253,18.25
369,59882.555582164,0.116,8.35
370,59882.555621981,0.801,57.79
371,59882.555734759,1.227,88.5
372,59882.555923702,0.04,2.87
373,59882.556051439,1.994,143.88
374,59882.556099029,0.385,27.79
375,59882.556249357,0.632,45.61
376,59882.556350846,1.178,85.0
377,59882.556598359,0.029,2.07
378,59882.556905596,0.171,12.32
379,59882.557061198,0.578,41.67
380,59882.557171590,0.454,32.73
381,59882.557228337,0.144,10.37
382,59882.557232028,0.082,5.91
383,59882.557279947,0.922,66.49
384,59882.557331407,1.299,93.68
385,59882.557440369,0.028,2.0
386,59882.557576976,0.062,4.45
387,59882.557622627,0.046,3.3
388,59882.557643117,0.084,6.03
389,59882.557644669,0.276,19.93
390,59882.557774007,0.245,17.66
391,59882.557903203,0.131,9.45
392,59882.558168147,0.457,32.96
393,59882.558254221,0.099,7.16
394,59882.558679642,1.527,110.19
395,59882.558749760,0.069,5.01
396,59882.558794051,3.388,244.4
397,59882.558810099,0.045,3.23
398,59882.558979259,0.069,5.0
399,59882.559021093,0.059,4.23
400,59882.559084718,12.985,936.73
401,59882.559213582,0.289,20.82
402,59882.559413991,0.012,0.87
403,59882.559646102,2.636,190.17
404,59882.559786926,0.209,15.05
405,59882.559983248,0.103,7.45
406,59882.560025905,0.513,36.98
407,59882.560097636,0.084,6.07
408,59882.560147001,0.192,13.85
409,59882.560147338,0.161,11.62
410,59882.560156222,2.866,206.74
411,59882.560171091,0.591,42.63
412,59882.560175701,0.104,7.47
413,59882.560191061,0.453,32.65
414,59882.560778268,0.183,13.18
415,59882.560806785,0.287,20.71
416,59882.561034933,0.33,23.81
417,59882.561102985,0.045,3.21
418,59882.561412885,0.039,2.83
419,59882.561413745,0.11,7.96
420,59882.561470601,0.026,1.9
421,59882.561471225,1.154,83.27
422,59882.561527795,0.037,2.67
423,59882.561541812,0.805,58.04
424,59882.561544534,0.201,14.51
425,59882.561557682,0.203,14.66
426,59882.561963132,1.727,124.59
427,59882.562005602,0.54,38.97
428,59882.562019897,0.285,20.53
429,59882.562094385,0.056,4.03
430,59882.562144361,2.014,145.29
431,59882.562201542,0.201,14.53
432,59882.562377596,1.179,85.07
433,59882.562688669,0.458,33.07
434,59882.562806953,0.409,29.51
435,59882.564210885,0.021,1.5
436,59882.564229665,1.885,135.96
437,59882.564230957,0.548,39.54
438,59882.564451238,0.397,28.67
439,59882.564600100,0.03,2.18
440,59882.564683094,1.308,94.38
441,59882.564792161,0.041,2.97
442,59882.564830750,0.065,4.71
443,59882.564919711,0.425,30.65
444,59882.565119309,2.067,149.13
445,59882.565120438,0.374,26.96
446,59882.565182974,0.852,61.45
447,59882.565352594,0.605,43.66
448,59882.565385517,0.983,70.92
449,59882.565387410,0.077,5.55
450,59882.565690155,0.044,3.19
451,59882.565854250,0.139,10.02
452,59882.565858674,0.002,0.13
453,59882.565870256,0.342,24.64
454,59882.565870588,0.445,32.13
455,59882.565870911,2.39,172.37
456,59882.565962803,0.25,18.04
457,59882.566333423,0.976,70.4
458,59882.566387872,0.173,12.44
459,59882.566441871,0.249,17.94
460,59882.566444711,0.168,12.13
461,59882.566544649,0.268,19.33
462,59882.566655996,0.064,4.64
463,59882.566715569,1.895,136.69
464,59882.566716397,0.334,24.09
465,59882.566780983,0.331,23.86
466,59882.566923074,0.687,49.53
467,59882.566996674,0.5,36.04
468,59882.567056421,0.079,5.67
469,59882.567056799,0.06,4.32
470,59882.567081935,0.476,34.36
471,59882.567400745,2.357,170.0
472,59884.576892356,1.308,94.36
473,59884.577004973,0.18,12.95
474,59884.577732832,0.039,2.79
475,59884.577744552,0.046,3.34
476,59884.578151071,1.31,94.51
477,59884.578198534,0.06,4.32
478,59884.578403603,3.581,258.32
479,59884.578404454,1.153,83.14
480,59884.578511164,0.911,65.7
481,59884.578779296,2.996,216.15
482,59884.578779765,0.164,11.84
483,59884.578808046,0.527,37.99
484,59884.579213741,0.575,41.49
485,59884.580001507,0.023,1.63
486,59884.580077314,0.545,39.32
487,59884.580134367,0.041,2.93
488,59884.580311341,0.063,4.55
489,59884.580311564,0.058,4.18
490,59884.580311897,0.259,18.71
491,59884.580345007,0.497,35.88
492,59884.580426089,0.222,16.02
493,59884.580632605,0.066,4.79
494,59884.581089027,0.752,54.23
495,59884.581295747,0.035,2.51
496,59884.581397865,0.296,21.33
497,59884.581689974,0.798,57.56
498,59884.582327861,0.082,5.92
499,59884.582547075,0.286,20.62
500,59884.582604974,0.134,9.7
501,59884.582667420,0.032,2.33
502,59884.583097851,0.359,25.92
503,59884.583420269,0.04,2.88
504,59884.584183109,1.87,134.92
505,59884.584557934,0.199,14.36
506,59884.584559040,0.194,14.03
507,59884.584608929,0.035,2.5
508,59884.584974983,0.721,52.04
509,59884.585706994,0.06,4.31
510,59884.586635316,3.278,236.49
511,59884.587167077,0.382,27.57
512,59884.587411640,0.08,5.77
513,59884.587746323,0.608,43.83
514,59884.587747871,0.206,14.87
515,59884.587748253,0.193,13.94
516,59884.587836413,0.723,52.14
517,59884.588274307,0.62,44.76
518,59884.588851393,0.079,5.67
519,59884.589243812,1.392,100.41
520,59884.589679131,0.798,57.6
521,59884.589993767,4.073,293.83
522,59884.590139917,0.106,7.67
523,59884.590140335,0.52,37.54
524,59884.590434470,0.25,18.06
525,59884.590498226,1.06,76.5
526,59884.590961547,0.268,19.3
527,59884.591225130,0.762,54.98
528,59884.591325564,1.646,118.74
529,59884.591596960,3.523,254.17
530,59884.592775142,0.312,22.52
531,59884.592868290,0.076,5.45
532,59884.593112060,0.114,8.21
533,59884.593112801,1.241,89.49
534,59884.593923943,0.674,48.64
535,59884.594427246,2.41,173.85
536,59884.595195128,0.182,13.1
537,59884.595196880,0.301,21.72
538,59884.595446640,0.138,9.98
539,59884.595447140,0.137,9.9
540,59884.595931597,0.191,13.76
541,59884.596510722,2.912,210.1
542,59884.596865772,1.009,72.79
543,59884.596866327,0.056,4.04
544,59886.584464848,0.07,5.07
545,59886.584489925,1.751,126.32
546,59886.584707205,0.354,25.56
547,59886.585749491,0.046,3.3
548,59886.585964923,0.179,12.9
549,59886.587017762,0.077,5.57
550,59886.587580135,0.427,30.77
551,59886.587901784,0.11,7.9
552,59886.588157347,0.995,71.77
553,59886.588294941,0.127,9.15
554,59886.588484950,0.013,0.95
555,59886.588485829,0.136,9.81
556,59886.588728758,0.035,2.49
557,59886.589384227,0.054,3.89
558,59886.589800234,0.044,3.15
559,59886.590890549,0.886,63.88
560,59886.591103746,0.185,13.34
561,59886.591314954,0.016,1.17
562,59886.591707032,0.516,37.25
563,59886.591811253,0.064,4.63
564,59886.591923492,0.287,20.68
565,59886.593228168,0.288,20.79
566,59886.593295179,0.13,9.4
567,59886.595245935,8.596,620.12
568,59886.595456816,0.374,26.96
569,59886.596121505,0.242,17.47
570,59886.596234664,0.485,34.99
571,59886.596923011,0.763,55.06
572,59886.597538963,0.118,8.49
573,59886.598174315,0.045,3.23
574,59886.598175189,0.909,65.57
575,59886.598426124,1.018,73.42
576,59886.598513706,0.245,17.71
577,59886.600089806,0.143,10.32
578,59886.601519456,0.127,9.2
579,59886.601623694,0.221,15.93
580,59886.601677352,0.053,3.84
581,59886.602022690,0.094,6.79
582,59887.566819109,1.319,95.16
583,59887.567086755,6.01,433.55
584,59887.568053443,0.267,19.28
585,59887.569575812,0.2,14.45
586,59887.569577287,0.153,11.02
587,59887.569850996,0.126,9.07
588,59887.570190012,0.165,11.88
589,59887.570955828,0.05,3.64
590,59887.571242607,0.128,9.24
591,59887.572818261,0.124,8.93
592,59887.573050641,4.94,356.38
593,59887.573144238,0.123,8.91
594,59887.573496071,5.301,382.43
595,59887.573562799,0.118,8.53
596,59887.573700357,1.867,134.68
597,59887.575746855,0.219,15.83
598,59887.575747147,4.357,314.34
599,59887.575748872,2.954,213.11
600,59887.575787733,0.039,2.78
601,59887.575912243,0.05,3.61
602,59887.576023476,0.138,9.96
603,59887.576466523,0.452,32.64
604,59887.576691015,0.298,21.5
605,59887.577250061,1.059,76.41
606,59887.577250921,12.301,887.38
607,59887.577563481,0.069,4.98
608,59887.578776726,0.135,9.71
609,59887.579238204,0.631,45.49
610,59887.580045557,1.254,90.43
611,59887.581050575,1.786,128.81
612,59887.581194699,0.067,4.81
613,59887.581639880,0.132,9.51
614,59887.581862243,3.161,228.02
615,59887.582432369,0.068,4.93
616,59887.582981788,0.034,2.48
617,59887.583226475,0.063,4.56
618,59887.583455150,1.219,87.95
619,59887.584196958,0.03,2.14
620,59887.584475864,0.625,45.11
621,59887.584765046,0.16,11.55
622,59887.584914919,0.493,35.53
623,59887.585078367,0.1,7.18
624,59888.502781285,0.879,63.43
625,59888.502905640,0.085,6.13
626,59888.503024210,0.042,3.03
627,59888.503024433,0.25,18.03
628,59888.503109548,0.071,5.15
629,59888.504049170,0.577,41.65
630,59888.504193104,0.646,46.57
631,59888.504391610,0.198,14.27
632,59888.504393421,5.755,415.16
633,59888.504681197,1.392,100.45
634,59888.504869467,0.144,10.41
635,59888.504872107,0.247,17.84
636,59888.505174924,0.893,64.42
637,59888.505175274,1.066,76.87
638,59888.505321666,2.38,171.67
639,59888.505796433,3.991,287.94
640,59888.506953521,1.529,110.33
641,59888.508071634,0.468,33.74
642,59888.508482362,0.03,2.16
643,59888.509677115,0.406,29.28
644,59888.509804633,5.165,372.61
645,59888.510338346,0.567,40.91
646,59888.510782166,0.055,3.95
647,59888.511049516,0.202,14.56
648,59888.511962599,0.038,2.72
649,59888.511963573,0.301,21.73
650,59888.511963850,2.857,206.12
651,59888.512504129,0.072,5.17
652,59888.512571991,1.673,120.72
653,59888.512865733,0.048,3.49
654,59888.513303259,0.065,4.67
655,59888.513303596,0.068,4.89
656,59888.513537241,0.033,2.37
657,59888.513836076,0.03,2.13
658,59888.514551870,6.658,480.33
659,59888.514585380,5.212,375.99
660,59888.515029112,0.285,20.54
661,59888.515188156,0.745,53.72
662,59888.515284185,2.066,149.03
663,59888.515439004,0.212,15.33
664,59888.515830122,1.124,81.06
665,59888.516723451,0.049,3.57
666,59888.517288653,0.051,3.65
667,59888.517486663,0.068,4.87
668,59888.518174158,0.076,5.51
669,59888.518809170,0.183,13.22
670,59888.519165632,1.552,111.99
671,59888.519280552,0.03,2.18
672,59888.520009658,0.592,42.73
673,59888.520083359,0.18,13.01
674,59888.520898185,0.155,11.18
675,59888.520898413,0.074,5.31
676,59888.521920264,0.536,38.69
677,59888.522043236,0.075,5.41
678,59888.522139806,0.173,12.5
679,59891.549020962,0.434,31.29
680,59891.549351683,0.146,10.5
681,59891.549819254,0.05,3.62
682,59891.551468090,0.894,64.51
683,59891.552470805,0.042,3.01
684,59891.552662652,0.188,13.55
685,59891.553289941,0.039,2.84
686,59891.553884958,0.235,16.98
687,59891.555327205,0.063,4.54
688,59891.555431216,3.177,229.17
689,59891.555653570,0.038,2.72
690,59891.556000251,5.057,364.77
691,59891.556256428,0.803,57.92
692,59891.556381574,0.104,7.5
693,59891.556398628,5.306,382.79
694,59891.556934885,0.341,24.58
695,59891.557209586,0.06,4.29
696,59891.558605471,0.079,5.7
697,59891.559396631,0.782,56.39
698,59891.560518180,0.624,45.04
699,59891.561333020,0.056,4.06
700,59891.561657182,0.246,17.76
701,59891.562476245,0.896,64.61
702,59891.562606980,0.025,1.84
703,59891.562616906,0.211,15.24
704,59891.563148117,0.041,2.97
705,59891.563149537,0.083,5.97
706,59891.563490843,0.622,44.84
707,59891.563729680,0.111,8.01
708,59891.564052249,3.011,217.23
709,59891.564968443,0.223,16.07
710,59891.565886883,0.055,3.95
711,59891.565887483,0.056,4.04
712,59891.566954693,0.319,23.01
713,59891.567038070,1.949,140.56
714,59891.567109827,2.994,216.0
715,59891.567197057,0.043,3.12
716,59891.567667252,0.134,9.68
717,59891.567882251,4.469,322.38
718,59891.568028269,0.493,35.59
719,59895.502021729,0.32,23.08
720,59895.502734278,0.194,14.0
721,59895.503011350,0.083,5.98
722,59895.503043121,4.537,327.32
723,59895.504150848,3.445,248.55
724,59895.504236609,0.13,9.34
725,59895.505112657,1.544,111.37
726,59895.505175456,0.013,0.95
727,59895.505867618,0.21,15.18
728,59895.506567133,0.362,26.09
729,59895.506750119,6.142,443.11
730,59895.506833199,1.261,90.96
731,59895.507211980,0.451,32.57
732,59895.507233461,5.793,417.92
733,59895.507475439,0.036,2.6
734,59895.507479335,0.021,1.54
735,59895.507538486,0.256,18.44
736,59895.507768886,2.047,147.7
737,59895.508347336,0.141,10.16
738,59895.508410925,6.254,451.17
739,59895.509191568,0.19,13.69
740,59895.509691489,0.117,8.46
741,59895.510709672,0.09,6.53
742,59895.510873872,0.041,2.99
743,59895.511643251,0.168,12.1
744,59895.511669939,1.827,131.83
745,59895.511800524,0.44,31.75
746,59895.512701275,0.14,10.11
747,59895.512773101,1.606,115.85
748,59895.512773456,0.155,11.17
749,59895.512813911,3.14,226.55
750,59895.512883370,9.188,662.8
