burst_id,mjd_bary,fluence_jyms,energy_1e36erg
818,59897.513525075,0.93,67.11
819,59897.513784443,2.375,171.34
820,59897.513996916,2.764,199.38
821,59897.514166336,0.041,2.98
822,59897.514212930,0.148,10.64
823,59897.514327632,0.032,2.34
824,59897.515078502,0.095,6.85
825,59897.515535269,1.574,113.54
826,59900.545559858,16.782,1210.6
827,59900.545585304,0.905,65.31
828,59900.545882440,2.748,198.23
829,59900.545930301,0.394,28.46
830,59900.546216210,0.098,7.05
831,59900.547807479,4.141,298.74
832,59900.547807752,0.533,38.48
833,59900.547807966,0.132,9.49
834,59900.547808262,0.075,5.44
835,59900.548695050,0.117,8.46
836,59900.549299374,0.211,15.23
837,59900.549442088,2.595,187.17
838,59900.549777874,18.803,1356.42
839,59900.550877918,0.375,27.02
840,59900.551181591,0.081,5.85
841,59900.551786657,0.311,22.42
842,59900.552130688,0.107,7.74
843,59900.552131239,3.233,233.2
844,59900.552189671,0.169,12.23
845,59900.552489480,0.026,1.85
846,59900.552496626,0.985,71.04
847,59900.552718592,4.997,360.48
848,59900.552889400,1.078,77.79
849,59900.553003760,0.322,23.25
850,59900.553212538,0.081,5.85
851,59900.553265144,0.048,3.46
852,59900.553396380,0.356,25.7
853,59900.553452723,0.431,31.06
854,59900.553505543,0.276,19.91
855,59900.553866063,0.243,17.55
856,59900.554259507,3.31,238.74
857,59900.554648477,0.035,2.53
858,59900.554908892,0.106,7.63
859,59900.555374056,1.286,92.77
860,59900.555652307,0.062,4.51
861,59900.556133896,2.575,185.77
862,59900.556726228,0.03,2.14
863,59900.556728321,0.061,4.39
864,59900.556728726,0.08,5.75
865,59900.557098145,2.077,149.8
866,59900.557211554,0.249,17.98
867,59900.557708126,0.153,11.05
868,59900.557737876,0.436,31.45
869,59900.557756992,4.162,300.21
870,59900.557757729,0.231,16.67
871,59900.557758293,3.254,234.7
872,59900.557888714,0.134,9.7
873,59900.558059264,1.236,89.15
874,59900.558060024,4.424,319.12
875,59900.558060912,0.359,25.93
876,59900.558197507,0.077,5.54
877,59900.558373967,3.199,230.74
878,59900.558602191,0.093,6.72
879,59900.558964833,0.048,3.46
880,59900.559204604,0.173,12.52
881,59900.559204913,1.385,99.93
882,59900.559346539,3.299,237.98
883,59900.559452002,0.159,11.48
884,59900.559566053,0.222,16.04
885,59900.559566413,3.332,240.34
886,59900.559792571,5.552,400.53
887,59900.559959014,0.049,3.52
888,59900.560124165,0.226,16.31
889,59900.560140485,0.078,5.66
890,59900.560163045,0.343,24.75
891,59900.560163636,0.054,3.92
892,59900.560174217,0.05,3.62
893,59900.560770286,0.256,18.49
894,59900.561037200,0.141,10.14
895,59900.561097567,2.959,213.44
896,59900.561098177,0.058,4.21
897,59900.561098327,0.44,31.73
898,59900.561350425,6.901,497.81
899,59900.561651354,0.169,12.22
900,59900.561968030,0.855,61.7
901,59900.562090404,1.491,107.55
902,59900.562092680,0.071,5.13
903,59900.562277937,1.658,119.59
904,59900.562741345,2.189,157.94
905,59900.562742055,0.043,3.11
906,59900.562795526,0.264,19.07
907,59900.562821090,0.202,14.61
908,59900.562984734,2.351,169.6
909,59900.563204362,0.105,7.58
910,59900.563205527,1.424,102.71
911,59900.563293322,0.271,19.56
912,59900.564055133,0.825,59.48
913,59900.564250735,0.161,11.64
914,59900.564719599,0.845,60.95
915,59900.565248976,0.206,14.85
916,59900.565249372,0.317,22.89
917,59903.486850272,0.802,57.84
918,59903.486981463,0.076,5.48
919,59903.486983383,0.116,8.35
920,59903.487093047,0.098,7.1
921,59903.487206283,6.607,476.64
922,59903.487704720,0.033,2.37
923,59903.488878866,0.08,5.77
924,59903.489843051,0.403,29.05
925,59903.489913365,3.427,247.19
926,59903.490000774,7.523,542.73
927,59903.490088474,0.454,32.79
928,59903.490443993,0.158,11.4
929,59903.490604575,0.19,13.74
930,59903.491021807,0.121,8.76
931,59903.491263690,0.542,39.08
932,59903.491891119,0.092,6.61
933,59903.492659456,3.83,276.27
934,59903.493474997,0.054,3.89
935,59903.493881934,0.499,36.0
936,59903.494150186,0.103,7.41
937,59903.496316201,0.065,4.65
938,59903.496418610,0.152,10.97
939,59903.496711219,1.013,73.1
940,59903.496712898,0.987,71.19
941,59903.496745690,0.261,18.81
942,59903.497326571,0.235,16.94
943,59903.497661915,0.117,8.45
944,59903.497961587,0.129,9.29
945,59903.498617308,0.058,4.22
946,59903.498753985,0.492,35.46
947,59903.499011819,0.118,8.52
948,59903.499012010,0.271,19.55
949,59903.499012147,0.163,11.75
950,59903.499265808,0.892,64.37
951,59903.499266077,0.126,9.08
952,59903.499335076,0.056,4.05
953,59903.499836818,0.28,20.19
954,59903.500176458,0.481,34.69
955,59903.500437578,0.097,7.01
956,59903.500553673,0.083,6.0
957,59903.501472210,0.314,22.68
958,59903.501472383,1.595,115.06
959,59903.501745750,0.262,18.93
960,59903.501974970,0.073,5.27
961,59903.503057834,12.008,866.21
962,59903.503086110,0.745,53.76
963,59903.503392460,2.706,195.19
964,59903.503429536,0.058,4.15
965,59903.504018188,0.093,6.74
966,59903.505129509,3.796,273.82
967,59903.505852777,1.555,112.17
968,59906.512676719,0.292,21.06
969,59906.515365547,0.551,39.78
970,59906.515749352,0.749,54.04
971,59906.518226290,3.521,253.98
972,59906.518642058,1.208,87.14
973,59906.518642790,4.017,289.8
974,59906.518643568,1.179,85.08
975,59906.519228654,0.046,3.31
976,59906.519807982,0.023,1.66
977,59906.519826073,0.321,23.13
978,59906.520591474,0.587,42.34
979,59906.520592243,0.096,6.9
980,59906.521094564,0.087,6.3
981,59906.521119800,0.734,52.96
982,59906.522126196,0.059,4.24
983,59906.522127143,0.024,1.76
984,59906.522160129,9.393,677.56
985,59906.522164120,0.105,7.55
986,59906.524385622,5.445,392.76
987,59906.524575744,0.154,11.12
988,59906.524713006,12.264,884.71
989,59906.524986993,0.067,4.8
990,59906.524987470,0.182,13.16
991,59906.526556484,0.16,11.51
992,59906.526637185,0.939,67.73
993,59906.527434717,3.369,243.04
994,59906.527514470,0.057,4.09
995,59906.528077443,0.399,28.81
996,59906.528554845,1.462,105.44
997,59906.528625464,2.15,155.11
998,59906.529759551,0.301,21.69
999,59906.531991362,0.082,5.93
1000,59909.464276749,0.227,16.37
1001,59909.464943423,0.01,0.69
1002,59909.469475119,0.099,7.17
1003,59909.469805729,1.938,139.81
1004,59909.470161581,0.023,1.67
1005,59909.472667428,0.04,2.88
1006,59909.473539607,0.259,18.66
1007,59909.474330408,0.045,3.25
1008,59909.474349978,1.121,80.85
1009,59909.477140273,0.07,5.02
1010,59909.479397779,1.848,133.33
1011,59909.479999682,0.054,3.89
1012,59909.481212416,0.835,60.2
1013,59909.481662867,0.176,12.73
1014,59912.534486734,0.029,2.09
1015,59912.534788342,2.22,160.16
1016,59912.534788915,2.899,209.15
1017,59912.534819443,0.072,5.17
1018,59912.537273061,0.113,8.18
1019,59912.537273566,2.614,188.54
1020,59912.537755474,0.384,27.67
1021,59912.538105850,0.823,59.4
1022,59912.542106596,0.055,3.97
1023,59912.542171435,0.05,3.58
1024,59912.542446236,0.114,8.24
1025,59912.544253837,0.064,4.65
1026,59912.544902029,0.241,17.38
1027,59912.544904651,0.792,57.17
1028,59912.545486292,0.063,4.57
1029,59912.545813899,0.06,4.3
1030,59912.546043821,1.293,93.25
1031,59912.548533060,0.447,32.27
1032,59912.548798959,0.054,3.87
1033,59912.550867753,0.348,25.09
1034,59912.551282305,0.182,13.11
1035,59912.551627834,0.15,10.8
1036,59912.552326594,0.174,12.54
1037,59915.457155736,1.102,79.51
1038,59915.457817140,0.179,12.88
1039,59915.457871175,0.118,8.5
1040,59915.457871389,0.228,16.44
1041,59915.458256122,0.079,5.7
1042,59915.458452880,0.603,43.47
1043,59915.458912956,0.762,54.97
1044,59915.461139760,0.356,25.68
1045,59915.461266286,0.17,12.24
1046,59915.461266577,1.55,111.84
1047,59915.461267296,0.209,15.11
1048,59915.461803754,0.022,1.56
1049,59915.461804118,0.085,6.16
1050,59915.464450544,0.679,49.02
1051,59915.464681508,0.272,19.65
1052,59915.464951084,0.186,13.43
1053,59915.464953410,4.278,308.59
1054,59915.465088072,0.156,11.25
1055,59915.465379384,0.583,42.07
1056,59915.465622309,0.164,11.83
1057,59915.465622669,0.039,2.79
1058,59915.466980416,4.263,307.52
1059,59915.466981249,0.068,4.88
1060,59918.488091013,2.131,153.74
1061,59918.489108897,0.151,10.89
1062,59918.489579058,0.392,28.31
1063,59918.490003918,1.128,81.4
1064,59918.494637336,0.067,4.8
1065,59918.495034239,1.656,119.44
1066,59918.495675622,0.477,34.43
1067,59918.496412684,0.043,3.14
1068,59918.496636066,0.227,16.4
1069,59918.497213729,0.096,6.95
1070,59918.497425838,0.194,13.97
1071,59918.499036718,0.027,1.92
1072,59918.499183619,0.298,21.52
1073,59935.373903586,0.014,1.04
1074,59935.378601306,0.119,8.58
1075,59935.385348766,0.084,6.09
