burst_id,mjd_topo,snr
B01813,60376.15101169,392.4
B01815,60376.15149274,256.4
B01816,60376.15167302,154.6
B01817,60376.1516733,62.3
B01819,60376.1517428,135
B01820,60376.15176247,26.8
B01821,60376.1517628,119.1
B01822,60376.15185524,42.3
B01823,60376.15197089,86.9
B01824,60376.15210084,336
B01825,60376.15210124,24.7
B01826,60376.15220048,319.8
B01829,60376.15234653,66.5
B01830,60376.15236785,125.2
B01831,60376.15245318,115.6
B01832,60376.15245335,133.6
B01833,60376.15253766,98.1
B01834,60376.15255291,48.3
B01838,60376.15265334,257
B01839,60376.15265363,87.6
B01841,60376.1527939,55.8
B01843,60376.15289038,54.7
B01844,60376.15290728,57.9
B01846,60376.15298446,27.4
B01848,60376.1533392,69.6
B01850,60376.15364508,146.9
B01851,60376.15364522,54.5
B01853,60376.15369971,55
B01854,60376.1537763,21.9
B01855,60376.15383556,56.6
B01858,60376.15419067,62.7
B01859,60376.1542095,27.3
B01861,60376.15421769,92.7
B01862,60376.15421844,25.1
B01864,60376.15460392,75.2
B01865,60376.15469992,44.4
B01866,60376.15470104,92.1
B01869,60376.15479872,70
B01870,60376.1549111,57.4
B01872,60376.15503138,27.9
B01876,60376.15503355,291.4
B01878,60376.15518369,35.5
B01881,60376.15545935,64.4
B01882,60376.15562682,140.3
B01884,60376.15564242,138.3
B01885,60376.15569891,73.1
B01886,60376.15581595,58.5
B01889,60376.15608018,80.1
B01890,60376.1560803,23.7
B01891,60376.15618105,27.9
B01896,60376.1563349,86.9
B01897,60376.15637103,73.4
B01900,60376.15637506,32.5
B01903,60376.15660598,85.3
B01904,60376.15660612,38
B01906,60376.15687891,155
B01908,60376.1570409,49.6
B01911,60376.15739265,37.5
B01912,60376.15748671,102.2
B01914,60376.15760009,29.6
B01915,60376.15764335,23.3
B01916,60376.15774119,179
B01917,60376.15774308,171.5
B01918,60376.15778115,41.2
B01919,60376.1577945,73.9
B01920,60376.15782099,23.9
B01921,60376.1579094,191.8
B01922,60376.15790947,111
B01923,60376.15818233,100.2
B01924,60376.15818274,62.2
B01925,60376.15821135,74.6
B01926,60376.15828838,45.6
B01928,60376.15841162,86
B01929,60376.15845521,29.3
B01932,60376.1588875,24.1
B01933,60376.1588879,236.5
B01934,60376.15912517,34.5
B01935,60376.15912536,58.4
B01936,60376.15930079,460.9
B01937,60376.15930107,131.1
B01938,60376.15948958,161
B01943,60376.15983289,33.9
B01945,60376.15996076,45.6
B01946,60376.16011283,31.3
B01947,60376.16011344,21.4
B01948,60376.16016077,58.8
B01953,60376.16042986,78.6
B01954,60376.16049498,72
B01959,60376.1608715,77.2
B01961,60376.16115759,20.9
B01962,60376.16118376,140.4
B01963,60376.16130182,63.2
B01964,60376.16130323,29.5
B01967,60376.16160158,21.5
B01968,60376.16162348,100.6
B01969,60376.16168389,194.5
B01974,60376.16214647,89
B01975,60376.16239894,485.8
B01976,60376.16262061,108.4
B01977,60376.16276018,32.1
B01980,60376.16278944,684.5
B01981,60376.16298869,29.2
B01982,60376.16298896,37.3
B01983,60376.16308772,260.8
B01984,60376.1631867,22.3
B01985,60376.16318755,27.2
B01990,60376.16367328,20.4
B01991,60376.1636754,27
B01993,60376.16414856,76.3
B01994,60376.16421363,47.2
B01995,60376.16421375,22.6
B01997,60376.16449124,368.8
B01999,60376.16471714,79.4
B02000,60376.16477919,37.4
B02004,60376.16517846,54.4
B02006,60376.16517897,25.1
B02007,60376.16523238,22.3
B02009,60376.16555588,21.6
B02010,60376.16563859,136.3
B02014,60376.16595598,48.6
B02015,60376.16604582,31.9
B02016,60376.1660805,110.9
B02017,60376.16609837,37.2
B02018,60376.16609899,120.6
B02019,60376.16609968,28.4
B02021,60376.16614097,48.8
B02024,60376.16644255,30.8
B02025,60376.16644996,259.3
B02031,60376.16752599,252.9
B02032,60376.16759468,103.2
B02033,60376.16770766,58.1
B02034,60376.1677098,51.5
B02036,60376.16792029,55.8
B02038,60376.16793713,16.2
B02039,60376.1679372,216.1
B02040,60376.16793725,50.7
B02042,60376.16809644,40.9
B02043,60376.16831271,45
B02045,60376.16851621,209.6
B02047,60376.16857858,132
B02048,60376.16871622,34.8
B02049,60376.16871637,101
B02050,60376.1688496,68.1
B02052,60376.16909686,70.8
B02053,60376.16934708,228.7
B02055,60376.16939195,28.2
B02056,60376.16939205,192.5
B02057,60376.16950569,20.8
B02059,60376.16983117,190
B02060,60376.16983133,59.3
B02061,60376.16983191,47.1
B02064,60376.16988022,196.7
B02065,60376.16992032,56.5
B02066,60376.16999003,37.6
B02067,60376.16999666,167.7
B02069,60376.17010271,74.9
B02073,60376.17023123,33.1
B02074,60376.17051606,122.5
B02076,60376.17093338,155.6
B02078,60376.17140398,28.1
B02079,60376.17149243,37
B02080,60376.17151136,36
B02081,60376.17172062,37.6
B02085,60376.17183817,31.2
B02087,60376.17221659,41.8
B02088,60376.17236805,56.5
B02090,60376.17302617,27
B02091,60376.17306593,149.1
B02092,60376.17306772,123.9
B02093,60376.17311198,58.7
B02096,60376.17324214,134.1
B02099,60376.17353442,75.9
B02103,60376.17388262,297.2
B02106,60376.17431261,31.9
B02107,60376.17434028,22.8
B02109,60376.17434794,27.3
B02110,60376.17436921,87.7
B02111,60376.17437806,163.5
B02112,60376.17437817,59.3
B02113,60376.17449823,403.6
B02116,60376.17472765,83.2
B02118,60376.17538232,173.4
B02119,60376.17548934,83.8
B02121,60376.17557741,22.7
B02123,60376.17572844,210.6
B02125,60376.17583713,63.3
B02129,60376.17603954,27.2
B02132,60376.17609843,139.2
B02134,60376.17634429,79.9
B02136,60376.17641571,211.5
B02137,60376.1764158,20.4
B02138,60376.17648194,77.5
B02139,60376.17683785,45
B02140,60376.17684013,39
B02143,60376.17743239,28.3
B02144,60376.17747846,34.8
B02145,60376.17747858,5.9
B02146,60376.17760365,73.1
B02149,60376.17803813,20.9
B02150,60376.1780969,64
B02152,60376.17818611,185.9
B02153,60376.1781868,868.7
B02154,60376.17831146,414.9
B02155,60376.17839837,242.9
B02156,60376.17843489,37.8
B02157,60376.17851833,31.6
B02161,60376.17913583,57
B02162,60376.17915386,75.5
B02164,60376.17934704,153.5
B02165,60376.17935196,165.8
B02167,60376.17935565,42.6
B02169,60376.17943466,65
B02170,60376.17943495,259.1
B02172,60376.17960644,45.4
B02177,60376.18044184,23.1
B02178,60376.18050901,80.4
B02179,60376.18058121,27.9
B02188,60376.18127984,52.7
B02189,60376.18133694,20.5
B02190,60376.1814629,40
B02191,60376.18154114,46
B02195,60376.18216505,58.9
B02197,60376.1823327,77.3
B02198,60376.18235318,20.9
B02200,60376.18261887,28.8
B02201,60376.18274669,38.9
B02202,60376.18277632,54.4
B02203,60376.18298014,117
B02205,60376.18314475,186.4
B02206,60376.18338021,162
B02208,60376.18385313,23
B02209,60376.18415188,28.1
B02210,60376.18417192,76.6
B02213,60376.18445379,161.6
B02214,60376.18445432,127.1
B02215,60376.18450107,171.8
B02218,60376.18500275,130.6
B02219,60377.19380815,290.1
B02221,60377.19387261,212.9
B02222,60377.19387271,29.4
B02224,60377.19390346,75.4
B02225,60377.19390532,166.3
B02228,60377.19402692,103.6
B02229,60377.19405044,102.9
B02230,60377.19406365,24.3
B02231,60377.19410808,25.6
B02236,60377.19431954,98.7
B02237,60377.19443231,92.8
B02238,60377.19443317,24.5
B02242,60377.19455059,202.7
B02243,60377.19482314,28.9
B02246,60377.19494693,241.2
B02249,60377.19526023,25.9
B02251,60377.19530153,61.4
B02252,60377.19531127,59.7
B02254,60377.19535188,66.8
B02255,60377.19535928,40.7
B02256,60377.19535941,215.2
B02258,60377.19549038,201.2
B02259,60377.19554844,64.1
B02260,60377.19578756,33.9
B02261,60377.19582816,28.4
B02269,60377.1966653,111.1
B02270,60377.19666551,59.4
B02271,60377.19674481,72.5
B02272,60377.1967662,50.5
B02273,60377.1967663,113.7
B02275,60377.1968392,169.4
B02277,60377.19700542,112.2
B02278,60377.19701945,153
B02280,60377.19710743,180.2
B02281,60377.19712433,83.4
B02284,60377.19737022,84.8
B02288,60377.19745097,30.6
B02290,60377.19765875,45
B02292,60377.19771997,32.1
B02293,60377.1977537,237.7
B02294,60377.19780877,72.5
B02295,60377.19780886,32.3
B02297,60377.19807758,56.6
B02298,60377.19807798,63
B02299,60377.19812738,137.2
B02300,60377.19824878,285.3
B02301,60377.19826174,43.3
B02306,60377.19835252,43.1
B02309,60377.19858502,159.7
B02311,60377.19862038,56.92
B02312,60377.19862056,110.5
B02315,60377.19875196,26
B02316,60377.19875765,311.8
B02317,60377.19876845,115.1
B02318,60377.19889037,75.5
B02321,60377.19892713,358.2
B02322,60377.19892748,92.8
B02325,60377.19902453,428.4
B02327,60377.19923598,48.5
B02328,60377.1992484,56.3
B02329,60377.19929023,23.8
B02336,60377.19984871,36.7
B02337,60377.19984998,26.7
B02338,60377.20001134,37.2
B02339,60377.20001154,21.8
B02340,60377.20002863,29.2
B02344,60377.20039098,141.4
B02346,60377.20039534,101.9
B02347,60377.20051448,43.4
B02349,60377.20079974,158.7
B02353,60377.20104178,67
B02354,60377.201131,161.7
B02355,60377.20113143,29.6
B02356,60377.20119043,24.2
B02361,60377.20138447,27.2
B02364,60377.20141648,78.4
B02365,60377.20141691,137.8
B02367,60377.20168293,26.4
B02371,60377.2019814,24.2
B02376,60377.20212698,26.1
B02380,60377.20259314,22.8
B02383,60377.2027166,34.1
B02385,60377.20274624,93.5
B02386,60377.20276693,52.6
B02388,60377.2029369,62
B02390,60377.20310604,105.3
B02393,60377.20319285,24.3
B02394,60377.2032249,83.1
B02397,60377.20392624,112
B02399,60377.20398775,91.6
B02403,60377.20410282,167.7
B02404,60377.20463614,20.2
B02405,60377.20466714,89.4
B02407,60377.20499996,54.7
B02408,60377.205107,49.8
B02409,60377.20511683,189.5
B02410,60377.2051199,78.5
B02413,60377.20539669,38.8
B02418,60377.20596401,60.9
B02419,60377.20599637,97.3
B02422,60377.20600969,44.1
B02423,60377.20616822,104.5
B02427,60377.20639317,28.7
B02428,60377.20660263,189.9
B02429,60377.20673674,221.9
B02432,60377.20702387,6.4
B02435,60377.20702568,22.2
B02439,60377.20705062,242.7
B02440,60377.20731414,102.1
B02441,60377.20743797,27
B02442,60377.20766966,186.6
B02444,60377.20773542,64.1
B02445,60377.20778758,23.2
B02447,60377.20821139,31.7
B02448,60377.20821153,471.2
B02449,60377.20831446,37
B02450,60377.20863734,448.4
B02451,60377.20881709,16
B02454,60377.20915331,617.2
B02455,60377.20941552,92.1
B02458,60377.20955352,64.1
B02461,60377.21035464,182.8
B02469,60377.2109742,26.4
B02472,60377.21132102,21.1
B02488,60377.21216868,21.8
B02489,60377.21221374,31.4
B02491,60377.21247559,22.9
B02493,60377.21253282,144.5
B02494,60377.21253294,155.1
B02499,60377.21296011,22.8
B02500,60377.21300825,89.6
B02501,60377.2130182,20.5
B02504,60377.21330978,22.3
B02506,60377.21354291,30.6
B02512,60377.21413545,24.8
B02513,60377.2141838,42
B02515,60377.21435953,150
B02517,60377.21455292,41.4
B02518,60377.21456916,27.3
B02519,60377.21474855,37.9
B02521,60377.2149571,34.3
B02524,60377.21527156,32.3
B02528,60377.21534934,25.8
B02529,60377.21534963,23.8
B02535,60377.21620418,81.5
B02539,60377.21692207,29.4
B02540,60377.21693481,53.4
B02550,60377.21783225,47.5
B02554,60377.21867198,22
B02556,60377.21906022,21.1
B02559,60377.21963979,69.6
B02560,60377.21976878,36.7
B02561,60377.22029536,40.9
B02564,60377.22135851,26.8
B02565,60377.22135964,23.3
B02570,60378.19310357,103.7
B02572,60378.19314686,39
B02574,60378.19316493,48.2
B02577,60378.19330468,29.3
B02578,60378.19333708,26.4
B02579,60378.19367691,72.9
B02581,60378.19389757,30.5
B02582,60378.19427294,21.4
B02584,60378.19443442,112
B02585,60378.19483143,107.4
B02587,60378.19492144,30.8
B02596,60378.1957356,126.3
B02598,60378.19587014,35.8
B02601,60378.1959032,21.4
B02604,60378.19617123,26.2
B02606,60378.19618309,25.1
B02607,60378.19618323,38.3
B02608,60378.19639726,29.7
B02612,60378.19687434,68.5
B02614,60378.19690614,28.8
B02615,60378.19706372,52.6
B02617,60378.19706534,22.5
B02619,60378.19709964,27.7
B02628,60378.19776305,42.6
B02629,60378.19777358,96.4
B02636,60378.19797118,158.3
B02637,60378.19800192,28.6
B02639,60378.19818523,74.4
B02640,60378.19830024,44.4
B02643,60378.19836625,50.9
B02647,60378.19836862,139.3
B02650,60378.19842605,24.8
B02654,60378.19879378,26.5
B02656,60378.19884539,61.3
B02658,60378.19929209,27.3
B02659,60378.19933066,33.4
B02661,60378.19943239,53.6
B02665,60378.19974492,52.7
B02670,60378.19974619,379.4
B02671,60378.19981527,38
B02673,60378.19987386,23.8
B02675,60378.20017029,19.4
B02676,60378.2002112,180.2
B02679,60378.20053211,61.1
B02680,60378.20053614,78.8
B02681,60378.20068172,42.4
B02685,60378.20095809,23.9
B02687,60378.20113019,107.2
B02688,60378.20116779,33
B02692,60378.2012108,30.2
B02694,60378.20121452,52.9
B02697,60378.20123752,67.7
B02699,60378.20130059,43.7
B02702,60378.20157092,89.2
B02703,60378.20173594,19.1
B02704,60378.20180104,33.2
B02705,60378.20180138,94.7
B02706,60378.20180171,33.7
B02710,60378.20202278,115.6
B02712,60378.20210037,21.6
B02718,60378.20275264,100.3
B02721,60378.20297339,26.6
B02723,60378.20309756,24.2
B02730,60378.20390283,104.4
B02733,60378.20409766,28.2
B02734,60378.20409828,30.2
B02739,60378.20443956,43
B02741,60378.20461743,146.7
B02742,60378.20480361,47
B02743,60378.20494685,77
B02746,60378.20513982,32.7
B02747,60378.20520064,30.4
B02753,60379.2001159,77.7
B02759,60379.20076553,100.4
B02760,60379.20091298,84.1
B02761,60379.20092201,45.4
B02763,60379.20103715,26.4
B02765,60379.20118187,96.2
B02766,60379.20125569,22.4
B02767,60379.20125624,27.6
B02768,60379.2012659,67.8
B02770,60379.20148013,25.5
B02773,60379.201574,41
B02774,60379.20165194,198.8
B02775,60379.20165216,55.4
B02777,60379.20169737,217.4
B02778,60379.20172674,28.2
B02780,60379.20180328,20.4
B02781,60379.20196171,61.3
B02782,60379.2020918,51.4
B02784,60379.20231263,361.1
B02785,60379.20233027,23.3
B02786,60379.20235834,45
B02787,60379.20249371,36
B02790,60379.20263666,72.5
B02791,60379.20268361,63.7
B02792,60379.20302173,65.9
B02793,60379.20302692,111.1
B02794,60379.20302727,398.2
B02795,60379.20307288,36.3
B02798,60379.20317348,22.1
B02804,60379.20375048,81.9
B02806,60379.20375645,47.6
B02810,60379.20384858,40.8
B02812,60379.20396576,104.1
B02813,60379.2040923,33.9
B02815,60379.20426629,63.2
B02819,60379.20456218,85.7
B02820,60379.20474642,91.9
B02821,60379.20481105,133.2
B02822,60379.20481132,46
B02823,60379.20481151,100.2
B02824,60379.20484754,93.9
B02825,60379.20507376,205.8
B02826,60379.20516626,37.3
B02827,60379.20516692,25.9
B02828,60379.20539416,24.4
B02831,60379.20543735,33.8
B02832,60379.20543739,40.7
B02834,60379.2054639,118.8
B02839,60379.20595988,37.7
B02840,60379.20625202,30
B02841,60379.20630862,78.3
B02842,60379.20630897,30.5
B02843,60379.2063092,21.9
B02850,60379.20660359,25.7
B02851,60379.20660434,20.9
B02855,60379.20664542,76.2
B02856,60379.20668161,42.5
B02858,60379.20698232,35.4
B02860,60379.207222,46.8
B02861,60379.20729702,58.3
B02863,60379.20754251,39.6
B02865,60379.20766112,88.7
B02866,60379.20766134,25
B02869,60379.2078216,29.4
B02871,60379.20817778,21.6
B02873,60379.20821966,280.2
B02874,60379.20828007,132.5
B02875,60379.20832525,36.8
B02876,60379.20837177,81.6
B02878,60379.20854792,45.9
B02882,60379.20880754,67.8
B02884,60379.20911734,39.3
B02885,60379.20917718,129.8
B02886,60379.20917777,37
B02888,60379.20919355,53.8
B02889,60379.20939525,242.5
B02890,60379.20939592,53.8
B02892,60379.20943656,123.7
B02893,60379.2094663,45.6
B02897,60379.20972623,20.8
B02901,60379.20982629,366.7
B02902,60379.20982643,121.1
B02903,60379.20986983,120.6
B02906,60379.20987121,36.7
B02907,60379.21008702,86.1
B02910,60379.21033999,21.2
B02912,60379.21040575,120
B02913,60379.21041249,89.8
B02915,60379.21044575,260.8
B02916,60379.21044605,37.2
B02918,60379.2106049,34.4
B02920,60379.2108554,22.4
B02921,60379.21085568,364.6
B02922,60379.21085618,42.9
B02927,60379.21144301,51.2
B02928,60379.21147368,27.6
B02929,60379.211474,49.8
B02930,60379.21150552,97.5
B02932,60379.21170742,33.7
B02937,60379.21197216,60.4
B02941,60379.21212637,59.4
B02943,60379.21212839,60.9
B02945,60379.21233261,21.4
B02947,60379.2123344,351.5
B02949,60379.21235658,57.5
B02959,60379.21314327,183.6
B02960,60379.21314345,22.2
B02961,60379.21325984,43.5
B02962,60379.21338816,68.7
B02967,60379.2146538,39.1
B02968,60379.21466223,42.6
B02971,60379.21479592,59.5
B02972,60379.21501905,53.8
B02973,60379.2150212,50.5
B02974,60379.21503159,180.6
B02977,60379.21547935,33.8
B02982,60379.21592537,53
B02985,60379.21665715,47.4
B02988,60379.21677304,42
B02993,60379.21733956,32.1
B02994,60379.21736161,26.6
B02995,60379.21738864,52.1
B02996,60379.21750706,64.5
B02998,60379.21762706,35.6
B03002,60379.21783573,25.5
B03004,60379.21789771,70.1
B03006,60379.21798536,53.3
B03009,60379.21819849,55.7
B03011,60379.21831731,40.2
B03012,60379.21856348,48.7
B03015,60379.21881305,119.3
B03019,60379.21898393,26.6
B03021,60379.2191375,43.2
B03022,60380.15354443,136.8
B03023,60380.15356834,76.5
B03025,60380.15371401,18.2
B03027,60380.15377144,77.7
B03028,60380.15384052,33.7
B03029,60380.15384272,35.2
B03034,60380.15437348,22.9
B03035,60380.15445339,46.6
B03036,60380.1544708,120.2
B03040,60380.15464003,34
B03042,60380.15473104,63.1
B03043,60380.15473182,105.4
B03044,60380.15473199,226.6
B03047,60380.154774,36.5
B03053,60380.15519396,27.4
B03054,60380.15519855,176.7
B03055,60380.1552418,14.3
B03056,60380.15524204,112.2
B03063,60380.15542921,136.5
B03067,60380.15575117,35.3
B03070,60380.1559603,21.3
B03072,60380.15606077,48.1
B03074,60380.15611042,324.3
B03075,60380.15618611,116.2
B03079,60380.15632516,27.9
B03080,60380.15641342,315.1
B03081,60380.15641354,399.1
B03083,60380.15671403,159.3
B03093,60380.15725872,43.2
B03094,60380.15730273,49.1
B03095,60380.15735617,59.8
B03096,60380.15743497,38.4
B03097,60380.15743502,43.9
B03100,60380.15769547,218.4
B03103,60380.15783213,26.3
B03106,60380.15796372,49.7
B03107,60380.15803674,28.9
B03111,60380.15811346,110.1
B03112,60380.15819896,47.1
B03113,60380.15819908,199.3
B03115,60380.15852134,27.4
B03120,60380.15870818,41.6
B03121,60380.15870824,67.9
B03122,60380.15870871,171.9
B03124,60380.15880974,21.1
B03126,60380.15897134,69.4
B03129,60380.15905966,72.2
B03130,60380.15905982,72.9
B03132,60380.15907474,40.2
B03133,60380.1591841,73
B03135,60380.15922166,23.4
B03136,60380.15927117,25.9
B03142,60380.15963531,49.7
B03143,60380.159749,537.3
B03145,60380.15987692,81.2
B03146,60380.159939,33.8
B03148,60380.1599601,283.2
B03149,60380.16014254,55.4
B03153,60380.16036523,191.1
B03155,60380.16036668,125.7
B03164,60380.16073127,90.6
B03165,60380.16077442,31.8
B03166,60380.16085681,64.7
B03167,60380.16090534,223.8
B03168,60380.16090552,31.2
B03169,60380.16093652,117
B03177,60380.1615184,81.1
B03178,60380.16151856,33.2
B03180,60380.16178962,56.9
B03181,60380.16181426,51.3
B03189,60380.16221765,146
B03190,60380.16221793,66.5
B03191,60380.16221816,37.1
B03194,60380.16226515,40.5
B03200,60380.1626116,26.2
B03204,60380.16269282,147.1
B03205,60380.16269351,44.6
B03210,60380.16339693,23.9
B03214,60380.16378525,72.7
B03215,60380.16390098,119.5
B03219,60380.16408477,27.6
B03220,60380.16408488,84.1
B03221,60380.16408509,193.2
B03222,60380.164087,44.1
B03223,60380.16408774,146.3
B03224,60380.16424927,155
B03225,60380.16434396,183.1
B03227,60380.16456712,26.9
B03228,60380.16458876,41.8
B03231,60380.1653094,32.4
B03235,60380.16558344,112.5
B03236,60380.16561948,21.6
B03242,60380.16623508,127.8
B03244,60380.1663998,38.1
B03245,60380.16641152,28
B03246,60380.16646373,24.4
B03248,60380.16664192,25.3
B03250,60380.16664301,21.4
B03252,60380.1669738,42.4
B03253,60380.16699224,204.7
B03254,60380.16729067,74.2
B03256,60380.1673141,21.1
B03260,60380.16738302,794.9
B03263,60380.16743751,82.7
B03264,60380.16743845,82.2
B03265,60380.16747366,32
B03266,60380.16753521,53.9
B03267,60380.16757416,39.3
B03269,60380.16757546,94.2
B03270,60380.16757705,57.4
B03271,60380.16759092,235.7
B03272,60380.16761328,51.2
B03275,60380.16767447,129.1
B03276,60380.16767462,24.8
B03278,60380.16768391,55.6
B03279,60380.16777698,134.7
B03284,60380.16793181,114.3
B03286,60380.16802437,27.4
B03290,60380.16814281,60.5
B03291,60380.16814314,32.1
B03292,60380.16814347,34.9
B03293,60380.16814359,84.7
B03294,60380.16814383,111.1
B03297,60380.16828265,46.6
B03301,60380.16868776,65.5
B03304,60380.16872114,26.1
B03305,60380.1689326,170.2
B03308,60380.16905469,51.3
B03309,60380.16908002,24.1
B03310,60380.16908177,52.5
B03311,60380.16909213,256.2
B03312,60380.16909251,26.3
B03313,60380.16909287,130.5
B03317,60380.16928012,35.8
B03318,60380.16928325,33.7
B03321,60380.16945499,36.6
B03322,60380.16954809,32.9
B03323,60380.16955109,329.8
B03324,60380.16964138,21.8
B03325,60380.16964188,412
B03326,60380.16964206,6.6
B03328,60380.16985264,31.4
B03337,60380.17058437,105.4
B03338,60380.17058784,133.4
B03342,60380.17068782,171.3
B03344,60380.17092374,118.6
B03345,60380.1709413,92.8
B03348,60380.17122716,31.7
B03349,60380.17122743,50
B03351,60380.17131863,30.5
B03352,60380.17131916,10.9
B03354,60380.17147624,272.8
B03355,60380.17150881,35.4
B03356,60380.17154423,55
B03359,60380.17163086,26.8
B03362,60380.17175817,28.3
B03364,60380.1721239,44.1
B03367,60380.17232996,27
B03369,60380.17239466,60.9
B03372,60380.17257465,1026.6
B03373,60380.17283674,158.1
B03377,60380.17308551,166.9
B03385,60380.17342405,77.1
B03387,60380.17353171,47.8
B03388,60380.17356651,34.8
B03389,60380.17356702,67.4
B03393,60380.17364928,34.6
B03394,60380.17371816,86.1
B03398,60380.17401816,38.9
B03399,60380.17410293,161.2
B03400,60380.17410302,27.9
B03401,60380.17417504,36.3
B03402,60380.17417534,46.8
B03406,60380.17482282,41
B03407,60380.17485214,23
B03409,60380.17486814,48.8
B03410,60380.17491176,244.8
B03411,60380.17494812,39.6
B03413,60380.17535653,29.8
B03414,60380.17535674,282.6
B03416,60380.17536879,109.1
B03419,60380.17538599,47.1
B03422,60380.1754196,69.2
B03423,60380.17549077,55.4
B03424,60380.17558887,102.2
B03425,60380.17559064,56.4
B03426,60380.17577776,24.5
B03429,60380.17592931,31
B03432,60380.17600928,325
B03433,60380.17609933,38.6
B03437,60380.1764061,466.4
B03441,60380.1766705,28.4
B03442,60380.17673681,48.2
B03443,60380.17682974,74.9
B03448,60380.17721986,144.4
B03449,60380.17733373,95.3
B03450,60380.17735447,54.6
B03451,60380.17739793,50.9
B03452,60380.1774213,25.9
B03453,60380.17751226,67.9
B03454,60380.17762522,64.2
B03455,60380.17773651,19.3
B03457,60380.17786881,49.1
B03459,60380.17804602,20.8
B03460,60380.17804659,29.6
B03461,60380.17808013,287
B03462,60380.17808059,34.2
B03464,60380.17812358,37.8
B03466,60380.17820428,111.9
B03467,60380.17820441,34.4
B03469,60380.17843351,219
B03472,60380.17885151,44.3
B03477,60380.17915176,114.8
B03483,60380.17938604,50.9
B03488,60380.17969022,121.4
B03490,60380.17985911,133
B03492,60380.17993641,128.4
B03495,60380.18020386,41.6
B03497,60380.18030824,27.7
B03498,60380.1806297,41.7
B03500,60380.18092512,64.5
B03502,60380.18100644,31.3
B03509,60380.1814312,201.8
B03514,60380.18175234,46.2
B03516,60380.18178478,22.6
B03517,60380.1819431,35.5
B03520,60380.18203688,88.6
B03521,60380.18207262,71.6
B03522,60380.1821005,20.9
B03525,60380.18238929,80
B03527,60380.18245175,71.6
B03528,60380.1824522,73.1
B03530,60380.18246573,173.3
B03532,60380.1825155,63.4
B03537,60380.18295826,55.9
B03539,60380.18296354,122.6
B03542,60380.18338358,29.9
B03543,60380.18349357,81.5
B03545,60380.18350124,27.9
B03546,60380.18350403,152.1
B03549,60380.18361445,139.1
B03550,60380.18361468,33.6
B03551,60380.18361505,114.6
B03554,60380.18367166,37.5
B03556,60380.18367772,77.1
B03557,60380.18369068,55.2
B03560,60380.18378929,180.4
B03561,60380.18379054,24
B03562,60380.18386687,24.5
B03563,60380.18390274,26
B03564,60380.18412792,66.4
B03565,60380.18413014,106.4
B03568,60380.18432644,44.6
B03571,60380.18445886,41.9
B03572,60380.18471977,47.5
B03573,60380.18474988,32.7
B03574,60380.18475384,22.4
B03576,60380.18486346,135.2
B03580,60380.18498271,22.2
B03581,60380.18499066,60.5
B03583,60380.18510198,56.3
B03586,60380.18510347,239.1
B03588,60380.18517028,28.5
B03592,60380.18525292,48.4
B03593,60380.18525336,41.2
B03595,60380.1852853,23.1
B03599,60380.18528782,24.8
B03601,60380.18542852,89.4
B03604,60380.18558443,44.1
B03605,60380.18571121,65
B03607,60380.18589491,162.9
B03608,60380.18589798,44.7
B03609,60380.18589808,27.8
B03612,60380.18619083,85.7
B03613,60380.18648378,41.3
B03614,60380.1864952,52.8
B03616,60380.1866161,32.3
B03619,60380.18709247,46.4
B03620,60380.18726645,133.6
B03621,60380.18730705,264.1
B03624,60380.18736805,37.2
B03625,60380.18740436,49.6
B03626,60380.1874732,49.7
B03628,60380.18759792,86.6
B03629,60380.18759804,38.1
B03630,60380.18759825,41.9
B03634,60380.18770176,27.6
B03635,60380.18771566,40.8
B03638,60380.18781993,55.7
B03639,60380.18797931,23.6
B03643,60380.18816331,69.3
B03644,60380.18821906,56.2
B03647,60380.18834154,53.8
B03649,60380.18843691,140
B03650,60380.18847485,21.2
B03651,60380.18847589,49.7
B03653,60380.1886256,196.6
B03657,60380.18864841,61.5
B03658,60380.18875701,139.9
B03659,60380.18891312,69.6
B03660,60380.18893162,36.8
B03661,60380.18897512,60.7
B03662,60380.18904519,41.1
B03663,60380.189057,22.7
B03664,60380.18905847,38.4
B03665,60380.18919603,46.8
B03666,60380.18919639,36.1
B03670,60380.18932333,22.7
B03671,60380.18933615,100
B03672,60380.18933663,66.8
B03673,60380.18935818,61.2
B03677,60380.18948044,26.5
B03679,60380.1897699,29.6
B03680,60380.18985452,42.3
B03681,60380.18999829,61
B03684,60380.19011294,32.7
B03687,60380.19039848,83.6
B03688,60380.19047469,30
B03692,60380.1906559,37.8
B03693,60380.19069598,32.8
B03694,60380.19069659,35.4
B03696,60380.19070884,112
B03697,60380.19082102,33.5
B03700,60380.19099615,203.3
B03702,60380.19125009,66
B03704,60380.19154975,29.8
B03705,60380.19174592,47.7
B03706,60380.19181284,31.5
B03709,60380.19200164,21.4
B03711,60380.19226407,105
B03715,60380.19254595,34.7
B03716,60380.19263925,56
B03718,60380.19273936,79.7
B03720,60380.19276196,85.4
B03725,60380.19303264,49.9
B03727,60380.19316914,184.7
B03729,60380.19318267,22.3
B03731,60380.19323654,72
B03735,60380.19365608,27.4
B03738,60380.19382672,83.5
B03742,60380.1943065,89.2
B03744,60380.19434586,31.3
B03745,60380.19434626,29.4
B03747,60380.1944223,56.5
B03749,60381.03906749,114.6
B03753,60381.03915036,59.1
B03755,60381.03929457,28.9
B03758,60381.03940792,49.4
