repeater_name,tns_name,mjd_400,fluence_jyms,excluded_flag
FRB20180814A,FRB20180814A,58344.61794030493,1.0593910377167945,1
FRB20180908B,FRB20180908B,58369.88407542346,6.809678593805146,0
FRB20180910A,FRB20180910A,58371.337576899554,5.6,0
FRB20180814A,FRB20180911C,58372.54116277198,7.708267073603756,1
FRB20180916B,FRB20180916B,58377.42731249479,6.933456361834627,1
FRB20180814A,FRB20180917A,58378.03238493907,11.234266470251361,0
FRB20180814A,FRB20180919A,58380.52513733837,1.8466292911358395,0
FRB20181017A,FRB20181017A,58408.976521114106,16.0,0
FRB20181018B,FRB20181018B,58409.19411333606,7.9,0
FRB20180916B,FRB20181019A,58410.34262449633,10.4,0
FRB20180814A,FRB20181028A,58419.42539458396,32.28371670389954,0
FRB20181030A,FRB20181030A,58421.17584503767,2.2784127848257225,0
FRB20181030A,FRB20181030B,58421.1780285643,4.959344773111501,0
FRB20180916B,FRB20181104A,58426.28979831968,5.021904047973811,0
FRB20180916B,FRB20181104B,58426.296547609534,4.445074306520098,0
FRB20180814A,FRB20181118C,58440.36446382215,1.72,0
FRB20181119A,FRB20181119A,58441.70073112,4.2501468566727505,0
FRB20180916B,FRB20181120B,58442.24729424101,2.7220010769842635,0
FRB20180814A,FRB20181120C,58442.351021068076,3.9172312866737817,0
FRB20181128A,FRB20181128A,58450.35256514131,8.1,0
FRB20181201D,FRB20181201D,58453.74778499355,1.150041896548601,0
FRB20181128A,FRB20181219A,58471.29492671633,4.996062836216622,0
FRB20180916B,FRB20181222A,58474.16624165815,52.78093564044,0
FRB20180916B,FRB20181223A,58475.16075171988,14.109882900247287,0
FRB20180916B,FRB20181225A,58477.1618510443,3.107792802430593,0
FRB20180916B,FRB20181226A,58478.155209499666,6.4242702602240565,0
FRB20181119A,FRB20190103A,58486.57457560919,5.962190406825326,0
FRB20190110C,FRB20190110C,58493.716400709876,1.916209266318962,0
FRB20190113A,FRB20190113A,58496.319812655376,6.58647659565192,0
FRB20190116A,FRB20190116A,58499.54692068458,4.106784747163389,0
FRB20190116A,FRB20190116B,58499.54745883756,2.448128103365378,0
FRB20190117A,FRB20190117A,58500.9295382153,11.230276414779642,0
FRB20180916B,FRB20190126A,58509.0644134385,3.7286053801998698,0
FRB20181226F,FRB20190201A,58515.6501499577,2.0960212502723548,0
FRB20190208C,FRB20190208C,58522.338950738056,1.869882628991025,0
FRB20190208A,FRB20190208A,58522.7373921285,3.84150135614464,0
FRB20190209A,FRB20190209A,58523.34746553404,3.3720878238806895,0
FRB20190209A,FRB20190210A,58524.34529991122,4.90150745317697,0
FRB20190212A,FRB20190212A,58526.67874364965,2.9317465680632497,0
FRB20190213A,FRB20190213A,58527.029475821255,2.263641621226311,0
FRB20190212A,FRB20190213B,58527.714962032915,3.4569273307718196,0
FRB20181017A,FRB20190216A,58530.6437296756,49.575561769255216,0
