episode,mjd,fluence_jyms,energy_erg
xu2022_spring,59312.32116561,0.6582,
xu2022_spring,59312.32468634,2.3088,
xu2022_spring,59312.32491563,0.28,
xu2022_spring,59312.32601295,3.1256,
xu2022_spring,59312.3273334,0.0613,
xu2022_spring,59312.33096699,0.2074,
xu2022_spring,59312.33374214,3.2597,
xu2022_spring,59312.33388223,0.0541,
xu2022_spring,59312.33483522,0.0902,
xu2022_spring,59312.33483534,0.1382,
xu2022_spring,59312.33814502,0.0618,
xu2022_spring,59312.34015132,0.9427,
xu2022_spring,59312.34439298,0.6067,
xu2022_spring,59312.34764366,0.403,
xu2022_spring,59313.32610275,0.6072,
xu2022_spring,59313.32740066,0.0986,
xu2022_spring,59313.32740082,0.1398,
xu2022_spring,59313.32740111,0.1701,
xu2022_spring,59313.3286074,0.0866,
xu2022_spring,59313.32966161,6.5472,
xu2022_spring,59313.33011935,0.4702,
xu2022_spring,59313.33052176,0.2146,
xu2022_spring,59313.33200201,0.3109,
xu2022_spring,59313.3331622,1.0246,
xu2022_spring,59313.33316295,0.3669,
xu2022_spring,59313.33336911,7.4232,
xu2022_spring,59313.3338388,0.2253,
xu2022_spring,59313.3345591,1.153,
xu2022_spring,59313.33455967,2.9037,
xu2022_spring,59313.33498542,0.5656,
xu2022_spring,59313.33498625,0.4384,
xu2022_spring,59313.33498638,0.3718,
xu2022_spring,59313.33522928,1.4102,
xu2022_spring,59313.33788762,0.2962,
xu2022_spring,59313.33792315,0.0698,
xu2022_spring,59313.34237592,6.2891,
xu2022_spring,59313.34315385,0.6528,
xu2022_spring,59313.34315406,0.4784,
xu2022_spring,59313.34577201,10.8517,
xu2022_spring,59313.34641926,1.3696,
xu2022_spring,59313.34641991,3.6533,
xu2022_spring,59313.34677926,2.5538,
xu2022_spring,59313.34964425,0.123,
xu2022_spring,59313.35006482,1.572,
xu2022_spring,59313.35172676,0.1765,
xu2022_spring,59313.35172698,0.1666,
xu2022_spring,59313.35204163,1.6784,
xu2022_spring,59313.35428968,1.0574,
xu2022_spring,59313.35429009,0.7466,
xu2022_spring,59313.35513503,0.8818,
xu2022_spring,59313.35826581,1.1371,
xu2022_spring,59313.35844516,0.2274,
xu2022_spring,59313.35892236,1.4301,
xu2022_spring,59313.35957316,2.2502,
xu2022_spring,59313.36037066,0.2995,
xu2022_spring,59313.36157939,0.0882,
xu2022_spring,59313.36158061,0.441,
xu2022_spring,59313.36158083,0.427,
xu2022_spring,59313.36222402,3.1331,
xu2022_spring,59313.36230543,0.3829,
xu2022_spring,59313.36230571,0.7923,
xu2022_spring,59313.36239306,6.5382,
xu2022_spring,59313.36366245,6.6285,
xu2022_spring,59313.3647521,3.1374,
xu2022_spring,59313.36553751,0.5243,
xu2022_spring,59313.36653867,0.3973,
xu2022_spring,59313.36654053,2.4344,
xu2022_spring,59313.36888858,1.0437,
xu2022_spring,59313.37028645,3.5376,
xu2022_spring,59313.3716904,9.5902,
xu2022_spring,59313.37262503,8.3293,
xu2022_spring,59313.37449025,10.6352,
xu2022_spring,59313.37459115,4.7574,
xu2022_spring,59313.37480261,0.1246,
xu2022_spring,59313.37779667,20.1794,
xu2022_spring,59313.37803445,0.6848,
xu2022_spring,59313.37803469,3.9288,
xu2022_spring,59313.37980827,1.0554,
xu2022_spring,59313.3812024,6.367,
xu2022_spring,59313.38526167,1.7072,
xu2022_spring,59313.38888727,0.2421,
xu2022_spring,59313.38981753,2.444,
xu2022_spring,59313.39078002,0.3264,
xu2022_spring,59313.39134008,8.3782,
xu2022_spring,59313.39134108,0.5958,
xu2022_spring,59313.39525861,0.32,
xu2022_spring,59313.39823843,0.0882,
xu2022_spring,59313.39955734,3.9782,
xu2022_spring,59313.39982649,0.0738,
xu2022_spring,59313.40047711,0.3384,
xu2022_spring,59313.40224955,9.7458,
xu2022_spring,59313.40280444,5.6766,
xu2022_spring,59313.4048631,0.9962,
xu2022_spring,59313.40486361,0.6938,
xu2022_spring,59313.40508211,4.9528,
xu2022_spring,59313.40616333,2.6298,
xu2022_spring,59314.32242844,3.8128,
xu2022_spring,59314.32258186,0.445,
xu2022_spring,59314.32390802,3.3384,
xu2022_spring,59314.32771514,0.1966,
xu2022_spring,59314.32837148,1.5565,
xu2022_spring,59314.32837169,0.5731,
xu2022_spring,59314.32847388,0.0565,
xu2022_spring,59314.32847399,0.1794,
xu2022_spring,59314.33108737,0.2554,
xu2022_spring,59314.33108769,0.6485,
xu2022_spring,59314.33108793,0.1986,
xu2022_spring,59314.33550495,0.5189,
xu2022_spring,59314.33550559,4.3638,
xu2022_spring,59314.33604568,0.7429,
xu2022_spring,59314.336046,0.8616,
xu2022_spring,59314.33705537,0.6194,
xu2022_spring,59314.33705579,1.6634,
xu2022_spring,59314.33739837,13.5544,
xu2022_spring,59314.33791297,0.6286,
xu2022_spring,59314.33872454,0.3141,
xu2022_spring,59314.34012974,5.0221,
xu2022_spring,59314.34028204,0.2003,
xu2022_spring,59314.34044389,0.4054,
xu2022_spring,59314.34194748,0.103,
xu2022_spring,59314.34300875,0.2994,
xu2022_spring,59314.34443006,0.064,
xu2022_spring,59314.34455929,1.9621,
xu2022_spring,59314.34455974,3.5269,
xu2022_spring,59314.34583509,14.9202,
xu2022_spring,59314.3478874,0.0731,
xu2022_spring,59314.34803586,0.2344,
xu2022_spring,59314.3487528,3.3803,
xu2022_spring,59314.34895101,4.7747,
xu2022_spring,59314.34986225,0.1938,
xu2022_spring,59314.35095292,0.1934,
xu2022_spring,59314.35095388,0.1731,
xu2022_spring,59314.3513749,0.2222,
xu2022_spring,59314.35287261,6.7934,
xu2022_spring,59314.35315095,1.4568,
xu2022_spring,59314.35337957,0.2955,
xu2022_spring,59314.35361438,0.1158,
xu2022_spring,59314.35760604,0.2286,
xu2022_spring,59314.3587138,0.2691,
xu2022_spring,59314.36022771,0.4237,
xu2022_spring,59314.3607032,3.264,
xu2022_spring,59314.36112634,0.9938,
xu2022_spring,59314.36123269,6.5323,
xu2022_spring,59314.36123317,3.7702,
xu2022_spring,59314.36135184,12.0835,
xu2022_spring,59314.36268565,2.8834,
xu2022_spring,59314.36365425,2.3186,
xu2022_spring,59314.36433591,0.7027,
xu2022_spring,59314.36488512,0.1816,
