t_s,flux,flux_err
96.191,1.98368e-10,3.66342e-11
109.122,1.85772e-10,3.5145e-11
115.419,2.05395e-10,3.88354e-11
119.937,2.30422e-10,4.35541e-11
126.827,1.64453e-10,3.10764e-11
133.693,1.52647e-10,2.79458e-11
139.903,2.22536e-10,4.34377e-11
145.675,2.15517e-10,3.94742e-11
152.36,1.66338e-10,3.14675e-11
160.4,1.29394e-10,2.3727e-11
169.822,1.24772e-10,2.29141e-11
185.797,7.18939e-11,1.61878e-11
185.834,1.10893e-10,2.1036e-11
197.027,1.07004e-10,2.09798e-11
210.428,1.24775e-10,2.37044e-11
226.519,1.16749e-10,2.15042e-11
240.76,8.87047e-11,1.85831e-11
265.472,6.60747e-11,1.216e-11
286.429,6.99159e-11,1.46433e-11
328.073,4.10429e-11,9.18805e-12
370.889,2.72138e-11,6.10629e-12
437.546,2.28799e-11,5.03701e-12
521.667,2.0241e-11,4.57878e-12
606.201,1.80927e-11,4.06439e-12
724.099,1.01695e-11,2.30584e-12
898.709,8.34855e-12,1.88202e-12
1038.35,7.69867e-12,1.69328e-12
1152.08,7.57088e-12,1.66142e-12
1287.62,8.59861e-12,1.88908e-12
1372.94,7.04665e-12,1.58689e-12
1518.79,5.65524e-12,1.27809e-12
1711.17,3.35942e-12,8.78432e-13
1877.11,4.87694e-12,1.09958e-12
2065.81,5.7546e-12,1.30055e-12
2337.29,3.2255e-12,5.88708e-13
6026.58,1.43347e-12,3.75271e-13
6439.45,2.10836e-12,5.47987e-13
6769.28,1.94924e-12,5.09165e-13
7049.56,2.52806e-12,6.56709e-13
7344.65,2.03854e-12,5.31603e-13
7909.79,1.62367e-12,3.10961e-13
11929.3,1.88191e-12,4.92818e-13
12244.2,3.74297e-12,8.41201e-13
12567.1,1.64043e-12,4.29092e-13
12958.2,2.04824e-12,5.33339e-13
13332.4,1.39944e-12,3.66056e-13
13799,1.83298e-12,3.94108e-13
17632.7,1.83398e-12,4.82916e-13
18093.1,1.92048e-12,5.00187e-13
18650.2,1.25027e-12,3.28492e-13
19403.6,1.22099e-12,2.72e-13
23595.7,1.68008e-12,4.41675e-13
24184,1.94001e-12,5.07495e-13
25139.1,1.3689e-12,2.92025e-13
29753.2,9.847e-13,2.62076e-13
30863.9,1.22565e-12,2.67039e-13
35603.8,7.92765e-13,2.09844e-13
36693.8,1.06642e-12,2.09682e-13
42081.5,6.79748e-13,1.27555e-13
48028.4,6.55817e-13,1.48765e-13
53709.7,5.7987e-13,1.53004e-13
58446.7,5.20434e-13,1.41995e-13
59842.4,5.45191e-13,1.36469e-13
64729.3,3.20233e-13,8.56989e-14
76568.3,4.1283e-13,8.90381e-14
84604.9,3.60403e-13,6.7873e-14
256206,1.96416e-13,7.67803e-14
