t_s,flux,flux_err
65.9389,1.32821e-07,1.31792e-08
66.924,1.54466e-07,1.52971e-08
67.7458,1.73411e-07,1.71716e-08
68.494,1.75926e-07,1.73355e-08
69.4533,1.30289e-07,1.28385e-08
70.4978,1.43499e-07,1.42088e-08
71.534,1.20364e-07,1.19184e-08
72.6526,1.24943e-07,1.23717e-08
74.0048,1.17463e-07,9.99976e-09
80.1181,8.88929e-08,9.64861e-09
80.7695,9.0925e-08,9.58629e-09
81.3765,9.14733e-08,9.54603e-09
81.9957,8.43863e-08,8.97155e-09
82.7169,6.50936e-08,7.60042e-09
83.5019,7.34394e-08,7.8736e-09
84.2177,8.32491e-08,9.07894e-09
84.8769,7.69543e-08,8.32648e-09
85.8119,5.50824e-08,6.11555e-09
86.6073,7.83489e-08,8.22525e-09
87.494,4.84444e-08,5.18995e-09
88.5607,5.6508e-08,5.93239e-09
89.4871,6.72309e-08,7.22129e-09
90.502,4.4174e-08,4.85597e-09
91.692,4.33777e-08,4.83312e-09
92.8339,3.7994e-08,5.13301e-09
93.904,4.9809e-08,5.40456e-09
95.037,4.21964e-08,4.76102e-09
96.436,3.96667e-08,4.40794e-09
97.703,4.14611e-08,4.49705e-09
98.4402,3.57408e-08,4.18284e-09
98.9251,3.30003e-08,4.20495e-09
99.4291,3.04812e-08,3.92071e-09
99.9254,3.44496e-08,4.13129e-09
100.41,3.72126e-08,4.37228e-09
100.969,2.89771e-08,3.79873e-09
101.574,2.35552e-08,3.15794e-09
102.119,3.05715e-08,3.98388e-09
102.663,2.84263e-08,3.60841e-09
103.2,2.82208e-08,3.69121e-09
103.726,3.06974e-08,3.97986e-09
104.248,2.5609e-08,3.35041e-09
104.898,2.01177e-08,2.7426e-09
105.559,3.48458e-08,4.11817e-09
106.061,2.82204e-08,3.66357e-09
106.678,2.25693e-08,2.86469e-09
107.374,2.43302e-08,3.08369e-09
107.938,2.6948e-08,3.39415e-09
108.689,1.7495e-08,2.23337e-09
109.513,2.04028e-08,2.63039e-09
110.279,1.87881e-08,2.52724e-09
111.021,2.38569e-08,3.06602e-09
111.802,1.77553e-08,2.4044e-09
112.527,2.36969e-08,3.00843e-09
113.139,2.46776e-08,3.15984e-09
113.743,2.53796e-08,3.37267e-09
114.396,2.07461e-08,2.72936e-09
115.119,2.52399e-08,3.29095e-09
115.84,1.89283e-08,2.44114e-09
116.763,1.55783e-08,2.03994e-09
117.712,1.55225e-08,2.03227e-09
118.6,2.0832e-08,2.68498e-09
119.418,1.73398e-08,2.24295e-09
120.352,1.50066e-08,1.94144e-09
121.302,1.73873e-08,2.25255e-09
122.2,1.62527e-08,2.08366e-09
123.102,1.9405e-08,2.53169e-09
123.835,2.01349e-08,2.59808e-09
124.674,1.54661e-08,1.99417e-09
125.599,1.89778e-08,2.33978e-09
126.467,1.66802e-08,2.10168e-09
127.39,1.83272e-08,2.33649e-09
128.433,1.15061e-08,1.53427e-09
129.54,1.62798e-08,2.07574e-09
130.574,1.53038e-08,1.91031e-09
131.596,1.37812e-08,1.79781e-09
132.866,1.10128e-08,1.40427e-09
134.133,1.28574e-08,1.65779e-09
135.233,1.38947e-08,1.77242e-09
136.499,1.10267e-08,1.40784e-09
137.645,1.59695e-08,2.08786e-09
138.614,1.77449e-08,2.24694e-09
139.6,1.05314e-08,1.553e-09
140.5,1.15866e-08,2.28127e-09
141.102,1.428e-08,2.81205e-09
141.65,1.4519e-08,2.88991e-09
142.238,1.15864e-08,2.33845e-09
142.836,1.6368e-08,3.38967e-09
143.446,1.02685e-08,2.13357e-09
144.107,1.49256e-08,2.89285e-09
144.592,1.61613e-08,3.27194e-09
145.202,1.2225e-08,2.39173e-09
145.781,1.42976e-08,2.79971e-09
146.3,1.29457e-08,2.61584e-09
147.014,1.12921e-08,2.19868e-09
147.699,1.01998e-08,2.11756e-09
148.377,1.06205e-08,2.2568e-09
149.108,1.12996e-08,2.47672e-09
149.77,1.19192e-08,2.58044e-09
150.357,1.13394e-08,2.42241e-09
150.959,1.12297e-08,2.39931e-09
151.504,1.34085e-08,2.84157e-09
152.165,9.24984e-09,1.96916e-09
152.841,1.03142e-08,2.20206e-09
153.404,1.26383e-08,2.70504e-09
153.995,1.06524e-08,2.26537e-09
154.637,9.85527e-09,2.07673e-09
155.258,1.21047e-08,2.55296e-09
155.818,1.05752e-08,2.20083e-09
156.508,1.02839e-08,2.10098e-09
157.194,9.02804e-09,1.84616e-09
157.869,9.51088e-09,1.96622e-09
158.581,9.46627e-09,1.93717e-09
159.398,7.63989e-09,1.52334e-09
160.125,9.85521e-09,1.99103e-09
160.873,9.3437e-09,1.89471e-09
161.652,8.24902e-09,1.67803e-09
162.422,9.41579e-09,1.86074e-09
163.182,8.77422e-09,1.71241e-09
164.016,9.07471e-09,1.80205e-09
164.781,7.12264e-09,1.44777e-09
165.682,9.37296e-09,1.86736e-09
166.406,9.21929e-09,1.78099e-09
167.286,6.86385e-09,1.27644e-09
168.222,8.54845e-09,1.62208e-09
169.105,7.19449e-09,1.35198e-09
170.153,7.4433e-09,1.36994e-09
170.989,7.04467e-09,1.38173e-09
172.052,6.01137e-09,1.0639e-09
173.242,5.48105e-09,9.89384e-10
174.634,5.49699e-09,9.5665e-10
175.702,9.0713e-09,1.64241e-09
176.634,6.38146e-09,1.12368e-09
177.768,6.97563e-09,1.17162e-09
178.731,6.73386e-09,1.17934e-09
179.923,5.82729e-09,9.69689e-10
181.227,5.58804e-09,8.97088e-10
182.513,5.29257e-09,8.44456e-10
183.76,6.59226e-09,1.04607e-09
185.193,5.16263e-09,7.7664e-10
186.578,6.11304e-09,9.64532e-10
187.722,6.9779e-09,1.06633e-09
189.042,5.53243e-09,7.82137e-10
190.448,5.95688e-09,8.48271e-10
191.792,4.17644e-09,6.50177e-10
193.482,4.93369e-09,7.4613e-10
194.831,4.09676e-09,6.95679e-10
196.348,3.46617e-09,6.07222e-10
197.869,5.00369e-09,7.12468e-10
199.302,3.56834e-09,6.04861e-10
200.695,4.21466e-09,6.81675e-10
202.213,4.64325e-09,6.75796e-10
203.711,3.68293e-09,6.3207e-10
205.111,3.70878e-09,6.38757e-10
206.724,4.44625e-09,6.0756e-10
208.547,2.76488e-09,4.6186e-10
210.463,2.81262e-09,4.73777e-10
212.353,2.38641e-09,3.9513e-10
214.246,3.03076e-09,5.06166e-10
216.169,2.75359e-09,4.62727e-10
218.017,3.09616e-09,5.10426e-10
220.09,2.06815e-09,3.535e-10
222.291,2.41299e-09,4.19891e-10
224.778,1.89352e-09,3.12896e-10
227.242,2.45083e-09,4.04434e-10
229.744,1.89074e-09,3.1955e-10
232.137,2.02696e-09,3.3189e-10
234.617,2.43549e-09,4.06332e-10
236.738,1.65998e-09,2.99262e-10
240.118,1.82913e-09,3.10462e-10
243.047,1.60222e-09,2.82325e-10
246.12,1.61297e-09,2.83273e-10
249.12,1.74915e-09,2.91371e-10
253.187,1.21175e-09,2.02407e-10
257.498,1.07246e-09,1.7917e-10
262.133,1.17063e-09,2.02979e-10
266.588,1.07428e-09,1.88879e-10
270.871,1.12875e-09,2.03104e-10
275.728,9.5399e-10,1.64167e-10
281.529,9.51995e-10,1.59427e-10
286.966,7.43826e-10,1.41553e-10
295.194,5.82755e-10,1.00097e-10
301.834,6.99034e-10,1.1713e-10
310.67,5.61508e-10,9.81855e-11
320,5.49306e-10,9.88426e-11
330.131,4.30904e-10,8.18794e-11
340.777,4.75882e-10,8.347e-11
352.47,4.39399e-10,7.95495e-11
362.128,4.04345e-10,8.34917e-11
370.063,3.85678e-10,8.47696e-11
378.887,5.38295e-10,9.62483e-11
388.602,4.6386e-10,7.63622e-11
411.347,2.8729e-10,6.48561e-11
437.434,2.86908e-10,6.47698e-11
467.698,1.43269e-10,3.24766e-11
512.869,1.59819e-10,3.5148e-11
557.035,1.17865e-10,2.65718e-11
606.144,2.15241e-10,4.85909e-11
643.983,1.60715e-10,3.62319e-11
676.97,2.36379e-10,5.31445e-11
714.514,1.51171e-10,3.23494e-11
756.176,1.85672e-10,4.18011e-11
792.785,1.62232e-10,3.64245e-11
