t_days,size
0.859434,2.64
0.861218,3.26
0.861400,3.5
0.869436,3.1
0.872513,2.5
0.874521,2.9
0.877815,3.6
0.879748,2.7
0.883790,3.05
0.884560,2.65
0.885133,4.49
0.885144,2.5
0.887270,3.59
0.889933,3.52
0.897559,3
0.897585,2.7
0.899195,3.13
0.900133,2.78
0.903801,2.5
0.904118,2.5
0.904587,2.69
0.907798,3.52
0.915276,3.44
0.917982,2.75
0.921877,2.91
0.924012,2.5
0.927809,2.98
0.928089,2.5
0.934014,3.08
0.934433,2.82
0.934776,3.01
0.940775,3.09
0.949374,3.85
0.951081,3.49
0.953773,3.7
0.954558,3.63
0.957392,2.5
0.957478,2.5
0.958089,3.09
0.964164,2.7
0.967092,2.5
0.967611,2.7
0.976890,2.61
0.977488,2.6
0.983733,2.5
0.987265,2.9
0.987423,2.71
0.988509,3.36
0.989146,3.06
0.990414,2.5
0.991066,2.5
0.992630,3.7
0.995059,2.5
0.995464,2.96
0.997031,3.32
0.997998,3.07
0.998218,3.12
0.998487,2.93
0.999035,2.76
1.000955,3.42
1.002423,3.55
1.005442,3.24
1.010196,3.08
1.015829,2.72
1.016668,2.58
1.019761,3.03
1.020519,3.66
1.022828,2.78
1.023045,3.01
1.023123,2.59
1.023583,2.55
1.024881,2.72
1.025743,2.5
1.030353,2.87
1.036279,3.05
1.039968,3.49
1.041840,2.74
1.046422,2.91
1.046622,2.7
1.047444,2.5
1.047533,2.5
1.048227,2.5
1.048571,2.91
1.054886,3.51
1.063329,2.5
1.064037,2.8
1.064955,2.81
1.065576,2.91
1.068194,2.96
1.068625,2.95
1.074313,3.11
1.075052,2.72
1.076101,3.23
1.077369,2.5
1.084521,3.09
1.085435,2.7
1.085854,3.82
1.086736,3.71
1.088472,2.66
1.089842,2.62
1.090072,2.5
1.091700,2.58
1.095222,3.45
1.097479,2.79
1.097623,2.6
1.100411,3.06
1.101341,2.5
1.102687,3.38
1.103365,2.5
1.107851,2.5
1.108176,2.85
1.108768,2.57
1.111201,2.89
1.112318,2.5
1.120297,2.8
1.121716,2.5
1.121783,2.67
1.124864,2.5
1.124886,2.5
1.126586,2.76
1.133294,2.71
1.135332,2.88
1.140679,3.43
1.141384,3.2
1.141443,3.3
1.147142,2.5
1.147913,3.16
1.152586,2.78
1.155743,2.73
1.160030,2.88
1.163118,3.08
1.164264,2.84
1.166073,2.5
1.166113,2.5
1.168433,2.5
1.168477,2.5
1.170117,2.6
1.171063,3
1.174233,2.5
1.175251,2.5
1.175495,3.08
1.175865,2.5
1.179504,2.5
1.181732,3.38
1.185459,2.5
1.188119,2.5
1.188980,2.5
1.191304,3.84
1.199746,2.5
1.199783,2.7
1.201143,3.86
1.205090,3.1
1.205473,2.8
1.208293,2.72
1.208880,3.46
1.221228,2.82
1.221921,3
1.222056,4.17
1.225817,2.5
1.226364,4
1.236569,2.94
1.241661,3.69
1.248224,2.5
1.248332,4.47
1.249130,2.5
1.251352,3.39
1.255214,2.83
1.256542,2.5
1.259148,2.5
1.259225,2.5
1.259820,2.5
1.263210,2.85
1.264192,3.14
1.268878,3.36
1.270521,3.29
1.276786,2.5
1.280080,2.8
1.280866,2.7
1.288353,2.88
1.296467,3.46
1.297079,2.87
1.297721,2.88
1.299641,2.5
1.299741,2.89
1.300131,2.8
1.301419,3.56
1.303739,3.25
1.305397,2.61
1.305733,2.64
1.306383,3.91
1.307019,2.5
1.312394,2.5
1.314045,3.1
1.314383,4.22
1.315109,2.5
1.317911,3.05
1.323794,2.5
1.326227,2.97
1.332978,2.5
1.334205,2.72
1.338792,2.5
1.341549,3.1
1.347423,2.87
1.348111,5.69
1.350525,4.18
1.351595,5.08
1.352776,2.5
1.356875,2.5
1.357132,2.5
1.357267,3.31
1.363480,2.87
1.363998,4.64
1.364755,3.6
1.365194,3
1.365611,2.5
1.365922,3.41
1.366346,2.8
1.366739,2.5
1.367092,2.5
1.368309,2.5
1.370120,2.87
1.370892,4.59
1.372245,2.62
1.372794,2.5
1.373213,3.07
1.379698,4.24
1.380572,3.56
1.387568,2.96
1.388557,2.91
1.389325,2.5
1.389784,2.5
1.391764,3.07
1.396787,3.74
1.398766,2.5
1.402046,2.98
1.409208,3.15
1.409904,3.59
1.411267,2.54
1.412068,2.86
1.416403,3.33
1.417743,2.5
1.420602,2.5
1.422461,3.06
1.424513,2.74
1.425169,3.02
1.426642,4.83
1.430739,2.95
1.432206,2.8
1.432403,3
1.433021,3.09
1.435940,3.41
1.438065,2.85
1.439330,3.55
1.442780,2.89
1.443155,4.25
1.453034,2.52
1.454410,4.64
1.456544,2.5
1.457181,2.83
1.457477,3.02
1.459746,2.5
1.468525,3.25
1.468746,3.03
1.473560,3.4
1.474584,2.6
1.474920,3.67
1.476337,3
1.476706,2.53
1.496419,3.25
1.503336,3.51
1.505421,3
1.513059,3.29
1.514784,2.87
1.519576,2.61
1.523138,2.87
1.523556,2.7
1.525926,3.09
1.526740,2.5
1.527639,2.63
1.530014,2.74
1.533197,3.23
1.536423,2.64
1.536722,2.5
1.545263,2.88
1.550111,2.55
1.554216,2.88
1.554425,2.5
1.557536,2.5
1.557754,3.11
1.558595,2.5
1.560923,2.9
1.566656,3.96
1.570076,2.86
1.576625,2.5
1.576923,2.61
1.578096,2.83
1.579088,2.91
1.585804,2.71
1.586488,2.5
1.588395,2.67
1.592048,2.72
1.593694,2.8
1.597390,4.08
1.601185,2.7
1.602403,2.7
1.604856,2.5
1.607388,3.26
1.607414,3
1.615734,3.03
1.617235,2.85
1.619063,2.73
1.621561,3.55
1.622159,2.5
1.622972,4.36
1.626042,2.62
1.630675,2.69
1.630935,2.6
1.631480,2.61
1.632593,2.61
1.634981,3.02
1.646022,3.01
1.650843,2.5
1.653208,3.16
1.653255,2.65
1.662372,2.99
1.668372,2.69
1.671671,3.08
1.672900,2.88
1.678009,2.86
1.680130,2.67
1.687116,2.65
1.700026,2.84
1.707092,2.5
1.716681,2.5
1.717360,2.89
1.719764,2.7
1.721334,2.87
1.721831,2.66
1.721956,2.5
1.723582,2.53
1.725290,2.66
1.726473,3.06
1.733448,2.96
1.734771,2.5
1.737101,3
1.738869,3
1.741838,2.79
1.742276,2.5
1.747776,3.69
1.750032,2.57
1.751028,2.9
1.758706,2.65
1.759458,2.9
1.762083,2.9
1.762186,2.5
1.763052,4.43
1.772476,3.2
1.775389,3.6
1.786607,2.8
1.793338,3.7
1.796736,3.3
1.797437,2.71
1.798606,3.02
1.804533,2.54
1.805984,2.59
1.819655,2.77
1.821175,2.66
1.821552,3.07
1.825920,2.64
1.827216,2.56
1.827468,2.92
1.827700,3.03
1.835265,2.88
1.835576,2.75
1.838524,3.07
1.841994,3.07
1.844346,3.33
1.846280,2.98
1.849326,2.94
1.851683,3.01
1.855541,2.72
1.858262,2.6
1.864506,2.5
1.895725,2.64
1.901642,3.27
1.913451,2.5
1.919743,2.5
1.921229,2.62
1.925315,2.52
1.929717,2.67
1.931552,3.3
1.939491,2.61
1.941322,3.39
