t_days,size
0.191416,2.89
0.191716,2.42
0.192033,3.05
0.192105,3.16
0.192495,2.9
0.192782,2.97
0.192935,3.12
0.193039,2.97
0.193091,3.05
0.193286,2.65
0.193556,3.71
0.193719,2.98
0.193806,3.68
0.193896,3.51
0.193945,3.72
0.194030,3.41
0.194247,3.45
0.194491,2.6
0.194925,2.65
0.194957,2.82
0.195021,3.04
0.195194,3.54
0.195352,4.47
0.195671,3.4
0.195888,3.54
0.196328,3.98
0.196367,3.66
0.196591,2.94
0.196939,2.94
0.197484,3
0.197494,3.14
0.197775,3.04
0.197951,3.22
0.198087,2.6
0.198323,2.49
0.198887,2.48
0.198928,3.26
0.199236,2.42
0.199453,3.45
0.199739,4.03
0.200055,2.81
0.200198,2.98
0.200526,2.62
0.200712,2.67
0.201039,3.24
0.201208,3.09
0.201331,2.84
0.201441,2.35
0.201896,2.91
0.201984,2.98
0.201991,2.93
0.202011,3
0.202505,2.61
0.202758,2.6
0.202869,3.51
0.203211,3.45
0.203709,3.63
0.203751,3.61
0.203966,2.73
0.204104,3.11
0.204245,2.76
0.204588,2.95
0.204801,2.5
0.204981,2.78
0.205076,2.7
0.205518,3.27
0.205630,2.93
0.206389,3.67
0.206751,3
0.207321,3.44
0.207643,3.11
0.207755,3.51
0.208080,2.55
0.208160,2.52
0.208717,2.43
0.208725,2.72
0.209169,2.59
0.209187,2.99
0.209201,2.71
0.209205,2.69
0.209456,2.64
0.209677,2.78
0.209760,2.57
0.209851,2.52
0.209904,3.97
0.210327,3.21
0.210501,2.38
0.210562,2.45
0.210678,2.7
0.210682,2.86
0.211059,2.91
0.211083,3.38
0.211338,2.57
0.211483,2.99
0.211551,3.52
0.211875,3.32
0.212051,3.17
0.212357,2.64
0.212602,2.78
0.212870,2.7
0.212925,2.53
0.213082,2.9
0.213444,2.54
0.213554,3.07
0.214205,2.2
0.214330,3.06
0.215006,2.28
0.215100,2.61
0.215313,3.06
0.215415,3.26
0.215538,2.82
0.215688,2.56
0.215705,2.95
0.215900,2.43
0.216181,2.64
0.216341,2.99
0.216379,3.06
0.216592,3.16
0.216932,2.86
0.217252,3.05
0.217470,2.83
0.217491,2.81
0.217568,2.96
0.217849,2.46
0.218120,4.29
0.218489,3.5
0.218548,3.32
0.218828,3.3
0.219041,2.93
0.219372,3.45
0.219511,3.44
0.219778,3.07
0.219941,2.94
0.220206,3.04
0.220601,3.16
0.220647,3.48
0.220926,3.17
0.221173,3
0.221309,3.04
0.221744,2.63
0.221997,2.66
0.222042,3.09
0.222288,2.23
0.222600,2.37
0.222886,3.39
0.223132,3.1
0.223262,3.27
0.223424,3.14
0.223503,2.72
0.223619,3.61
0.223778,3.38
0.224122,2.67
0.224408,3.03
0.224666,2.74
0.225065,2.68
0.225327,2.67
0.225392,2.88
0.225592,2.89
0.225837,2.5
0.226242,2.85
0.226750,3.32
0.227259,2.74
0.227729,2.64
0.227952,3.44
0.228579,3.27
0.228588,3.13
0.228669,3.26
0.229548,3.56
0.229592,3.66
0.229735,3.78
0.230245,2.99
0.230250,2.88
0.230395,2.89
0.230638,2.78
0.230823,3.34
0.231132,2.82
0.231141,2.84
0.231362,3.44
0.231458,3.35
0.231638,2.91
0.231719,2.77
0.231860,2.7
0.232258,3.08
0.232437,2.84
0.232727,3.05
0.233183,2.31
0.233441,2.71
0.233450,2.23
0.233516,2.45
0.233688,2.35
0.234080,2.5
0.234237,2.15
0.234626,2.06
0.234766,2.3
0.235053,2.39
0.235396,3.03
0.235602,3.02
0.235614,2.86
0.235995,2.69
0.236475,2.78
0.236695,3.39
0.236876,3.62
0.237396,2.8
0.237455,2.92
0.238834,2.49
0.238980,2.98
0.239152,2.9
0.239621,2.5
0.239705,2.52
0.239759,2.81
0.239928,2.74
0.240102,2.65
0.240335,2.6
0.240554,2.53
0.241136,2.79
0.241184,4.15
0.241511,3.45
0.242187,3.57
0.243038,3.5
0.243601,3.09
0.243664,4.63
0.244109,3.2
0.244339,2.67
0.244737,2.69
0.244932,2.73
0.245011,3.19
0.245174,2.64
0.245239,2.84
0.245299,2.74
0.245542,3.46
0.245807,2.55
0.246052,2.66
0.246254,2.89
0.246531,2.8
0.246918,2.73
0.247081,2.94
0.247215,3.02
0.247331,3.53
0.247600,2.93
0.247694,3.37
0.247943,2.71
0.248047,2.94
0.248506,2.71
0.248713,3.02
0.249204,2.12
0.249561,2.29
0.249900,2.38
0.250480,2.35
0.250532,2.52
0.250887,2.03
0.251049,2.05
0.251161,2.07
0.251305,4.27
0.251664,3.02
0.251809,2.99
0.252273,3.33
0.252821,2.78
0.252973,2.86
0.253022,2.59
0.253494,3.21
0.254292,2.84
0.254418,3.45
0.254810,2.67
0.254973,2.77
0.255000,3.55
0.255402,3.45
0.255836,2.44
0.256055,3.14
0.256234,2.56
0.256642,2.82
0.256880,2.72
0.256924,2.93
0.257432,2.35
0.257662,2.34
0.257678,2.56
0.258059,2.58
0.258167,2.35
0.258569,2.42
0.259142,2.18
0.259309,2.33
0.259395,2.26
0.259505,2.38
0.259905,2.38
0.260338,2.93
0.260405,2.99
0.260641,3.06
0.261042,3.42
0.261502,2.94
0.261634,2.75
0.262327,2.91
0.262414,2.89
0.262480,3.3
0.262802,2.97
0.263389,2.35
0.263445,2.27
0.263517,2.7
0.263734,3.31
0.263788,3.13
0.263906,3.72
0.264005,3.31
0.264471,2.8
0.264538,3.55
0.264682,3.09
0.264900,2.97
0.265400,2.77
0.265718,2.45
0.265785,2.7
0.265916,2.75
0.266198,2.54
0.266529,4.05
0.266867,2.84
0.267065,3.09
0.267085,2.89
0.267816,2.75
0.268064,2.45
0.268220,2.24
0.268294,2.5
0.268611,2.51
0.268789,2.48
0.269569,2.98
0.269992,2.42
0.270170,3.03
0.270233,2.86
0.271016,3.9
0.271549,2.36
0.272352,2.6
0.272425,2.7
0.272561,2.33
0.272810,2.73
0.272889,2.64
0.273025,2.64
0.273622,2.49
0.273721,2.59
0.273975,2.86
0.274287,2.32
0.274312,2.8
0.274454,2.81
0.274705,2.37
0.275015,2.16
0.275101,3.24
0.275134,3.57
0.275641,2.78
0.275792,2.99
0.275977,2.68
0.276318,2.32
0.276718,2.77
0.276732,3.32
0.276914,2.54
0.277231,2.84
0.277302,2.77
0.277514,3.39
0.278386,2.4
0.278732,2.67
0.278781,3.77
0.279290,3.4
0.279443,3.11
0.279571,2.77
0.279701,2.23
0.280175,2.35
0.280301,2.54
0.280508,2.39
0.280992,2.08
0.281149,2.25
0.281504,3.25
0.281702,2.56
0.281883,2.45
0.281928,2.19
0.282260,2.56
0.282335,2.77
0.282503,3.24
0.282776,2.85
0.282987,2.5
0.283444,2.04
0.283544,2.36
0.283699,2.35
0.283853,2.15
0.284030,3.46
0.284273,2.92
0.284416,2.87
0.284730,2.96
0.284813,2.52
0.284968,2.26
