t_days,size
39.004167,2.7e-06
39.054167,3e-06
39.160417,2.5e-06
39.224306,2.4e-06
39.373611,1.4e-06
39.461111,1.5e-06
39.502083,3.1e-06
39.665278,2.7e-06
39.677083,3.8e-06
40.453472,1.3e-05
40.479861,5.4e-06
40.607639,1.4e-06
40.668056,1.4e-06
40.809028,1.6e-06
40.873611,6.1e-05
40.938194,1.3e-05
41.133333,1.1e-06
41.347917,2.1e-06
41.368056,1.8e-06
41.418056,1.3e-06
41.474306,1e-06
41.548611,1.6e-06
41.601389,1.5e-05
41.931250,1e-06
42.075694,2.1e-06
42.193750,2.8e-06
42.310417,1.6e-06
42.372917,1.6e-06
42.440972,1.6e-06
42.601389,4.4e-06
42.684028,3.7e-06
42.849306,1.8e-06
43.060417,1e-06
43.127083,1.2e-06
43.182639,2.7e-06
43.504861,1.4e-06
43.567361,1e-06
43.583333,1.1e-06
43.824306,1.2e-06
44.143750,2.2e-06
44.268056,1e-06
44.865278,1.3e-06
45.226389,1.3e-06
45.259722,2e-06
45.325694,1.4e-06
45.468750,8e-06
45.535417,8.6e-06
45.640278,5.4e-06
45.691667,4.5e-06
45.759722,6.2e-06
45.836806,2.5e-06
45.895833,5.2e-06
45.943750,1.4e-06
46.093750,1.3e-06
46.205556,1.4e-06
46.488889,1.6e-06
46.749306,1.6e-06
46.833333,5.9e-06
47.176389,1.8e-06
47.262500,1.7e-06
47.369444,1.5e-06
47.486806,3.8e-06
47.613889,1.4e-06
47.668056,1.8e-06
47.720139,1.4e-06
48.246528,1.1e-06
48.274306,1.2e-06
48.525000,1.5e-06
48.727778,4e-06
48.927778,2.8e-06
49.080556,2.5e-06
49.122917,2.6e-06
49.254167,2.7e-06
49.337500,1.5e-05
49.366667,5.4e-06
49.409028,2.2e-06
49.479861,6e-06
49.538889,4e-06
49.570833,3.8e-06
50.178472,3.4e-06
50.194444,2.1e-06
50.204167,1.9e-06
50.298611,8.6e-06
50.361806,2.9e-06
50.456250,3.1e-06
50.470833,8.5e-06
50.656944,1.9e-06
50.683333,2.3e-06
50.804861,1.5e-06
50.884722,2.5e-06
50.929167,1.6e-05
50.944444,4.7e-06
50.961806,4e-06
51.026389,2.2e-06
51.040278,3.6e-06
51.083333,2.5e-06
51.185417,7e-06
51.647917,1.5e-06
52.006250,4.5e-06
52.006250,4.5e-06
52.121528,1.3e-06
52.226389,5.2e-06
52.316667,3.5e-06
52.353472,1.8e-06
52.365278,1.8e-06
52.375000,2.7e-06
52.457639,4e-06
52.543056,4.1e-06
52.582639,2.1e-06
52.602083,5.6e-06
52.828472,2.9e-06
52.913889,4.7e-06
53.159722,1.5e-05
53.190278,1.1e-05
53.304167,8.7e-05
53.742361,9.8e-06
53.780556,6.7e-06
53.907639,1.4e-05
53.930556,8.6e-06
53.996528,7.1e-06
54.066667,3.2e-06
54.225000,5.6e-06
54.490278,5.6e-06
54.650000,7.2e-06
54.772917,5.2e-06
54.800000,6.8e-06
54.817361,7.3e-06
54.935417,7.9e-06
55.023611,6.9e-05
55.209722,4.2e-06
55.271528,4e-06
55.516667,1.3e-05
55.695139,2.5e-06
55.733333,1.9e-06
55.790972,2.7e-06
55.803472,5.2e-06
55.843750,2.8e-06
55.852778,9.5e-06
56.018750,1.7e-06
56.054861,3.2e-06
56.127778,0.00018
56.603472,2.3e-06
56.745833,2.9e-06
56.777778,2e-06
56.973611,5.6e-06
57.022917,2.9e-06
57.136806,4.2e-06
57.206944,6.7e-06
57.319444,5.4e-06
57.424306,1.2e-05
57.595139,1e-05
57.775000,3.1e-06
57.796528,5.2e-06
57.844444,5.1e-06
58.184722,1e-05
58.305556,8.7e-06
58.577083,7e-06
59.005556,5.7e-06
59.144444,2.1e-06
59.272222,1.4e-06
59.318056,2.1e-06
59.438889,1.5e-06
59.458333,1.8e-06
59.943056,2.3e-06
