t_days,size
0.591990,4.9
0.593867,4.8
0.596830,4.5
0.598697,4.9
0.600694,6.1
0.603404,5
0.604725,4.9
0.608545,4.7
0.608660,4.9
0.609226,5.7
0.610418,5.2
0.611026,5.4
0.614047,4.8
0.616009,4.6
0.616873,5.1
0.617895,5.5
0.621309,4.6
0.621530,5.1
0.622390,5
0.623093,4.9
0.624209,4.8
0.624825,4.9
0.625407,5
0.627580,4.7
0.628440,4.9
0.630382,4.5
0.630871,4.8
0.633592,4.9
0.634952,5.4
0.636932,5
0.658306,4.9
0.663610,5.2
0.667167,4.5
0.667553,4.5
0.679040,5.4
0.681818,4.8
0.684419,4.5
0.689064,5
0.689762,4.7
0.691796,4.9
0.696766,4.6
0.701208,4.9
0.701776,5
0.705962,5.1
0.710555,4.6
0.711756,5.7
0.713928,5.4
0.721413,4.9
0.726073,4.5
0.732606,4.9
0.734554,4.5
0.736004,4.5
0.736066,4.5
0.736154,4.6
0.736407,5.3
0.739920,4.7
0.745686,5
0.754434,4.7
0.754921,5.1
0.755802,4.7
0.756962,4.7
0.758094,5.3
0.758993,5.4
0.762864,4.5
0.774309,5
0.776894,5
0.779417,4.5
0.786967,5
0.787600,4.8
0.789460,4.6
0.790799,5.5
0.802894,4.7
0.803872,5
0.808677,4.5
0.809605,4.8
0.810778,4.7
0.812923,5.4
0.817877,4.7
0.818486,5
0.820919,4.7
0.821492,4.6
0.822329,4.5
0.824478,4.6
0.824832,5.8
0.825762,5.3
0.826394,5.2
0.830729,4.7
0.831201,5.1
0.833162,4.6
0.833292,5.5
0.833927,6.5
0.837683,4.9
0.840215,4.7
0.841821,4.5
0.842026,4.6
0.842585,5.2
0.846185,4.7
0.847222,4.6
0.847857,4.9
0.852375,4.9
0.852979,4.9
0.854968,4.8
0.858029,4.6
0.859357,4.5
0.862078,4.8
0.863642,4.5
0.865797,4.6
0.866446,5.2
0.868812,5
0.872754,5
0.875803,5.9
0.878742,5
0.879315,4.9
0.881961,4.6
0.882502,4.5
0.882761,4.6
0.883968,4.9
0.885686,5.8
0.888902,4.9
0.889144,4.5
0.892750,5.9
0.895867,4.6
0.899497,4.8
0.901603,4.9
0.901987,4.7
0.904431,4.6
0.904904,5.3
0.908563,5.3
0.910665,4.7
0.911191,4.6
0.913095,4.6
0.919367,4.6
0.921205,4.9
0.922461,5
0.924496,4.5
0.925468,4.6
0.927360,4.5
0.928958,4.6
0.930395,5.2
0.932733,4.8
0.940912,4.7
0.949768,4.5
0.952041,4.7
0.955979,4.9
0.958967,5.1
0.962882,5.7
0.968825,4.8
0.970158,4.7
0.971446,4.6
0.977999,4.6
0.978119,4.9
0.982809,4.7
0.984811,4.5
0.986636,4.5
0.987994,4.6
0.989218,4.8
0.989804,4.5
0.990850,4.7
0.995614,4.8
0.996368,4.5
1.004897,4.6
1.006115,4.5
1.008702,5.1
1.009736,5.1
1.011397,4.6
1.015658,4.5
1.016595,5.1
1.016909,5.4
1.022459,5.5
1.025608,4.8
1.028847,4.5
1.029725,4.8
1.034443,5
1.036806,4.9
1.037716,4.7
1.037817,4.9
1.040034,4.7
1.043615,4.8
1.046818,4.5
1.048102,4.6
1.049312,4.7
1.051047,4.6
1.052722,4.7
1.054101,4.5
1.056353,4.9
1.059641,4.7
1.060391,4.5
1.060571,5
1.062525,4.7
1.063443,4.8
1.064081,4.7
1.064246,5.1
1.065680,4.9
1.066642,4.8
1.067705,4.9
1.068436,4.9
1.070398,4.5
1.071754,4.5
1.072167,4.6
1.073404,4.7
1.075870,5
1.076792,5.1
1.077555,4.9
1.080321,4.8
1.083495,4.7
1.086671,4.7
1.088718,5.1
1.090491,4.9
1.100661,4.5
1.102299,4.8
1.104108,4.7
1.106318,4.6
1.108098,4.6
1.109442,4.6
1.113883,4.9
1.119228,4.8
1.122067,4.9
1.122991,4.7
1.123973,4.9
1.125771,4.7
1.126017,4.6
1.129441,5
1.131472,4.7
1.133337,4.6
1.134443,5.2
1.136428,4.5
1.138293,4.7
1.141694,4.6
1.143659,4.7
1.144847,4.5
1.146490,4.5
1.147563,5.2
1.149805,4.6
1.153348,5
1.155775,4.5
1.160586,4.6
1.162395,4.8
1.162736,5.2
1.167774,4.8
1.176425,5
1.180385,4.9
1.189957,4.6
1.190244,5.3
1.196360,4.5
1.200269,5.2
1.203338,5
1.204271,4.6
1.205490,4.6
1.210424,4.7
1.213272,5.7
1.216604,4.6
1.221217,4.9
1.224249,4.5
1.231856,4.9
1.239637,4.5
1.244180,4.5
1.244930,4.8
1.249721,5.3
1.254537,4.5
1.258522,4.5
1.259064,4.8
1.260407,4.7
1.264271,4.9
1.268086,4.6
1.269060,4.7
1.270217,4.9
1.271515,4.9
1.271875,4.7
1.272484,4.8
1.278355,4.9
1.289406,4.8
1.294502,5.1
1.295506,4.6
1.296852,5.9
1.311176,4.8
1.312008,6.1
1.317698,5.2
1.319829,5.3
1.321862,4.8
1.322160,4.9
1.329549,4.9
1.335172,4.6
1.338273,4.5
1.340840,5.2
1.345222,5.6
1.353151,4.9
1.354618,4.5
1.357985,4.6
1.360296,4.6
1.367095,5.4
1.372763,5.8
1.379833,4.9
1.382136,4.8
1.394118,4.7
1.402510,4.6
1.408367,4.6
1.411502,4.7
1.422864,4.8
1.425092,4.5
1.428842,4.8
1.431408,4.7
1.436008,4.6
1.439364,4.7
1.441501,5.1
1.451593,4.9
1.453020,4.9
1.459571,4.7
1.464779,4.8
1.468693,5.1
1.470919,4.8
1.472211,4.6
1.473882,4.5
1.475098,4.7
1.475484,5.2
1.479161,4.6
1.481247,5.8
1.494542,4.5
1.496208,4.7
1.498012,4.8
1.500494,4.5
1.501243,4.8
1.503437,4.9
1.506636,4.5
1.509426,4.7
1.515895,4.6
1.519445,4.5
1.519606,4.5
1.533322,4.6
1.536255,4.8
1.545303,4.5
1.551899,4.7
1.559409,5.3
1.562951,4.7
1.566912,4.9
1.570383,4.5
1.573888,4.8
1.577560,4.8
1.581514,4.7
1.589603,4.5
1.592083,4.8
1.592814,4.6
1.598644,5
1.599678,5.1
1.602444,4.7
1.602870,5
1.607815,4.5
1.611906,4.5
1.621567,4.9
1.622420,4.9
1.626657,4.8
1.627520,4.7
1.633930,4.6
1.635267,4.5
1.651510,4.7
1.661245,5
1.662903,4.9
1.667888,5.4
1.674939,5.4
1.676924,4.5
1.679765,4.8
1.683263,4.5
1.684979,5.8
1.692390,4.6
1.695000,4.6
1.697954,5.3
1.701622,4.6
1.705702,4.8
1.711506,4.6
1.713291,4.7
1.729732,4.8
1.732140,5.4
1.735008,6.1
1.743736,5.1
1.746119,5.2
1.752666,4.5
1.753461,5
1.755071,5
1.757742,4.9
1.758607,4.5
1.770409,4.8
1.782328,5
1.789512,5
1.792152,5.2
1.797773,4.5
1.807115,4.8
1.810991,4.6
1.812391,4.7
1.818134,4.6
1.819214,6.1
1.822974,5.1
1.827631,4.6
1.830869,5.2
1.837655,4.5
1.845252,4.5
1.852394,4.8
1.858000,4.5
1.859148,5.8
1.860461,4.7
1.865401,4.9
1.870111,4.9
1.872254,5.1
1.876313,5.1
1.878452,5.3
1.879852,5.1
1.881315,4.5
1.882515,5.3
1.885123,4.5
1.885484,4.6
1.889344,4.5
1.889814,4.9
1.891289,4.5
1.900151,4.5
1.908167,4.8
1.910110,4.5
1.916182,4.9
1.917005,4.5
1.919320,4.6
1.919688,4.6
1.922442,4.9
1.925613,4.5
1.927649,4.9
1.930226,4.5
1.930497,4.6
1.935099,5
1.942357,5.1
1.944225,4.7
1.951170,4.7
1.951264,5.1
1.954201,5.1
1.957945,4.5
1.968084,4.8
1.973707,4.6
1.975511,4.7
1.991013,4.5
1.993323,4.6
1.994164,4.5
1.997517,4.6
2.000915,4.9
2.003129,4.8
2.006073,4.9
2.007891,4.5
2.009396,4.9
2.022775,4.6
2.026268,4.5
2.035698,4.9
2.042398,4.5
2.054331,5.3
2.063305,4.5
2.077056,4.6
2.077535,4.8
2.082616,4.5
2.090491,5.7
2.101358,4.5
2.103039,4.5
2.111054,4.8
2.121809,4.5
2.122927,5
2.125481,4.6
2.127218,4.9
2.130322,4.8
2.133254,4.6
2.139009,4.7
2.139493,4.6
2.140414,4.8
2.142958,4.8
2.143060,4.6
2.143432,5.1
2.146470,4.5
2.148762,4.8
2.150259,4.8
2.151722,4.6
2.151896,5.1
2.160837,4.9
2.162465,4.5
2.163830,4.9
2.166190,4.7
2.167312,4.8
2.170913,5.6
2.178811,4.8
2.178894,4.8
2.196469,4.8
2.201748,4.7
2.206101,4.8
2.207037,4.7
2.210489,4.7
2.211489,4.9
2.214147,4.7
2.217052,4.9
2.218690,4.9
2.221366,4.7
2.223277,4.8
2.223688,4.7
2.226091,4.7
2.231410,4.5
2.236904,4.7
2.238228,4.7
2.243823,5.7
2.251098,4.9
2.252778,4.9
2.256980,4.7
2.260403,4.8
2.261418,4.8
2.267030,4.7
2.267728,4.6
2.269314,4.7
2.276303,4.7
2.277222,4.8
2.278311,4.9
2.282743,4.5
