t_days,size
1.079458,2.88
1.080532,2.5
1.085784,3.34
1.087855,2.63
1.088146,3.01
1.095441,2.78
1.096297,2.6
1.101627,3.02
1.102192,4.16
1.104324,2.5
1.104546,2.81
1.106308,2.63
1.110262,3.28
1.110918,3.26
1.111965,2.5
1.114666,2.87
1.117884,3.43
1.120590,2.57
1.126813,3.59
1.130237,3.13
1.132849,3.23
1.136612,3.06
1.137206,3.1
1.154779,2.68
1.155725,2.58
1.156635,2.8
1.159356,2.69
1.161068,2.63
1.169140,2.5
1.172834,2.85
1.173190,2.83
1.177898,2.72
1.181105,2.75
1.183781,2.63
1.184409,2.55
1.203527,3.5
1.207676,2.66
1.213585,3.18
1.218100,3.15
1.219181,3.44
1.222145,3.2
1.224195,2.56
1.229593,2.66
1.231751,3.3
1.235012,2.91
1.238231,2.95
1.238708,2.88
1.243565,2.62
1.246337,3.33
1.247303,2.93
1.262936,2.8
1.263289,3.63
1.264641,2.52
1.265946,2.71
1.268263,3
1.268429,3.77
1.269990,2.73
1.278549,2.75
1.280205,2.7
1.280447,2.84
1.284199,3.21
1.285897,2.68
1.286695,2.78
1.289156,2.82
1.294190,2.83
1.297574,3.13
1.301223,3.05
1.307417,3.6
1.324248,2.96
1.324963,3.17
1.326595,3.54
1.328724,2.75
1.340260,2.76
1.341011,3.04
1.347042,3.63
1.349776,2.77
1.352722,2.78
1.360393,2.56
1.362502,3.27
1.362570,3.03
1.363487,2.93
1.364100,2.75
1.365353,3.87
1.366802,3.2
1.374843,2.54
1.377210,2.61
1.385666,2.5
1.393090,2.83
1.397625,2.63
1.398653,2.96
1.402230,2.51
1.408156,3.23
1.413630,2.6
1.419024,2.52
1.419957,2.51
1.426723,2.74
1.427563,2.59
1.429386,3.48
1.431938,2.85
1.436850,2.8
1.438051,2.64
1.440264,2.87
1.446662,2.54
1.447463,2.62
1.450442,2.93
1.451355,2.66
1.455100,2.57
1.458624,2.68
1.459474,2.5
1.461211,2.98
1.461786,2.67
1.488920,2.65
1.498587,2.5
1.498789,2.78
1.511626,2.67
1.512698,2.67
1.513158,2.72
1.514027,3.82
1.517804,3.11
1.530377,2.51
1.535613,2.7
1.537344,2.63
1.544113,3.37
1.545933,2.76
1.546282,2.63
1.548985,2.66
1.551607,3.52
1.561283,3.03
1.562180,2.86
1.564846,2.81
1.566835,2.55
1.579827,3.6
1.587015,2.53
1.587992,2.81
1.594700,2.57
1.595120,2.5
1.599997,2.5
1.602187,4.23
1.603100,3.04
1.609044,4.09
1.609190,4.18
1.610927,2.76
1.613564,3.01
1.615852,2.57
1.624762,2.68
1.626891,2.75
1.627223,2.78
1.641347,3.44
1.643662,2.5
1.652952,2.73
1.668160,2.77
1.668474,2.7
1.668935,2.76
1.671725,3.7
1.674699,2.86
1.675291,2.8
1.701353,2.5
1.701548,2.55
1.711235,2.6
1.711923,2.66
1.712784,2.63
1.715081,3.28
1.716031,3.1
1.721602,2.77
1.724696,2.68
1.728305,2.51
1.734976,2.51
1.745143,2.82
1.760218,3.04
1.761442,2.58
1.761828,2.76
1.762804,3.21
1.762972,3.21
1.764663,2.56
1.765406,2.67
1.766059,2.58
1.768698,2.75
1.769136,2.71
1.779285,2.73
1.783056,3.41
1.784382,2.72
1.795441,2.6
1.800473,2.71
1.806180,2.52
1.817843,2.52
1.826582,2.61
1.829595,2.59
1.831230,3
1.838855,2.57
1.839672,2.6
1.840183,2.56
1.844719,2.6
1.850967,2.79
1.852488,2.81
1.862403,2.71
1.871724,2.7
1.874500,2.7
1.874686,2.66
1.875477,3.62
1.884179,2.9
1.888245,2.89
1.889027,2.99
1.895369,2.56
1.897261,2.76
1.898343,3.22
1.906968,2.85
1.916054,3.55
1.917302,2.79
1.921029,2.93
1.921754,2.58
1.930257,2.73
1.941827,2.55
1.942792,2.77
1.951767,3.08
1.952436,2.96
1.952884,3.21
1.974130,2.84
1.983949,2.67
2.001349,2.77
2.003870,2.57
2.004116,2.5
2.014546,2.67
2.033583,2.61
2.039482,2.67
2.042399,3.73
2.043265,2.5
2.051800,2.77
2.052227,2.52
2.054253,2.74
2.056156,2.5
2.092229,2.69
2.095517,2.55
2.109637,3.17
2.113561,2.7
2.115542,3.05
2.123491,2.65
2.136103,2.68
2.154432,2.56
2.172402,2.56
2.188960,2.5
2.190348,2.83
2.194539,4.59
2.204273,2.76
2.204492,2.5
2.208838,2.9
2.210288,3.68
2.212320,2.77
2.216639,3.53
2.218925,2.72
2.250816,2.57
2.251273,2.8
2.252081,2.75
2.253277,2.94
2.256463,2.9
2.274215,3.53
2.276701,2.62
2.283037,2.55
2.291185,2.55
2.294527,2.52
2.303825,2.65
2.309147,2.56
2.339694,2.59
2.348626,3.66
2.353003,2.87
2.362057,2.58
2.365900,2.55
2.370519,2.51
2.372549,2.67
2.375338,2.68
2.377784,2.7
2.379637,4.35
2.388958,3.48
2.390526,2.59
2.392678,2.5
2.393928,2.54
2.406336,2.8
2.414846,2.55
2.426988,2.62
2.435690,3.17
2.440613,2.72
2.450110,2.68
2.453925,2.7
2.456985,2.61
2.464781,2.54
2.470476,2.57
2.476189,3.27
2.477685,2.5
2.477775,3.08
2.479284,2.64
2.484199,2.87
2.484699,2.85
2.497395,2.95
2.499848,2.71
2.500175,2.71
2.513647,2.81
2.514058,2.83
2.521716,3.07
2.573122,2.66
2.576863,2.91
2.578233,2.75
2.588501,2.93
2.589958,3.34
2.602183,2.77
2.607627,3.02
2.617490,3.65
2.623363,2.69
2.635336,3.39
2.639773,2.52
2.689192,2.56
2.703005,2.88
2.720634,2.63
2.741363,2.87
2.744449,3.22
2.750572,2.7
2.754650,2.54
2.777348,2.61
2.805299,2.72
2.807907,2.58
2.811617,3.04
2.813624,3.34
2.818309,3.58
2.818474,3.25
2.818512,3.35
2.839320,2.66
2.858437,2.83
2.865787,2.6
2.874492,2.66
2.879056,2.94
2.888469,2.64
2.890758,2.64
2.920242,3.12
2.923607,2.57
2.929767,2.84
2.938496,2.78
2.955493,3.09
2.963111,2.7
2.968666,2.56
2.970012,2.92
2.994518,2.58
2.997693,3.28
3.004411,2.63
3.013234,3.56
3.013832,3.4
3.017686,2.57
3.029669,2.8
3.030019,3.78
3.048822,3.63
3.049754,2.69
3.055270,2.79
3.067152,3.19
3.067267,3.07
3.087502,2.54
3.097671,2.56
3.104506,2.87
3.114081,2.95
3.114188,3.02
3.116167,2.53
3.118602,2.74
3.126187,2.67
3.136487,3.03
3.154238,2.82
3.155457,2.95
3.156318,2.6
3.162787,2.55
3.190396,2.62
3.190556,2.77
3.234550,3.18
3.258641,2.54
3.274925,2.62
3.281212,3.28
3.285092,2.75
3.289123,2.53
3.289923,3
3.291001,3.22
3.310673,2.56
3.321150,2.61
3.332389,2.85
3.332467,2.79
3.340581,2.77
3.341196,2.52
3.363653,4.14
3.363900,4.08
3.366712,2.52
3.375353,2.53
3.376879,2.63
3.419755,2.52
3.426847,3
3.434086,4.49
3.442062,2.54
3.469975,2.78
3.475566,2.58
3.477073,2.52
3.478811,2.5
3.488791,2.63
3.493811,2.69
3.508300,2.91
3.536834,2.5
3.540457,2.5
3.559180,2.52
3.601816,2.52
3.610343,2.6
3.617767,2.75
3.651057,2.73
3.651907,2.75
3.655004,2.62
3.701554,3.12
3.703493,3.12
3.713916,3.16
3.721090,2.8
3.722367,2.5
3.746583,3.15
3.761257,3.34
3.786851,3.09
3.787665,2.66
3.787994,2.81
3.795044,2.9
3.818331,2.56
3.822685,2.83
3.851083,3.48
3.874773,2.55
3.916051,2.62
3.925432,3.11
3.942051,2.52
3.948593,2.65
3.950219,2.67
3.951425,2.72
3.952451,2.62
3.953471,3.55
3.972149,2.98
3.995672,2.75
3.997136,3.1
4.002509,2.51
4.004609,2.53
4.006404,3.2
4.006771,3.23
4.009585,3.39
4.021587,3.02
4.030244,3.56
4.032637,3.98
4.055195,2.73
4.069658,2.54
4.077460,2.52
4.102152,3
4.115900,2.68
4.120137,2.85
4.155616,2.58
4.169361,2.5
4.189814,2.53
4.193583,2.53
4.234370,2.87
4.275751,3.21
4.289765,2.53
4.326895,2.53
4.354804,2.64
4.364389,2.63
4.367038,3.29
4.367336,3.2
4.387142,2.64
4.417541,2.54
4.421233,2.79
4.460815,2.53
4.517793,3.08
4.551044,2.55
4.554859,2.69
4.564104,2.97
4.582323,2.76
4.610326,2.85
4.614789,4.12
4.617653,2.78
4.679178,3.26
4.706317,3.11
4.729046,2.99
4.744267,3.58
4.778015,2.56
4.799255,2.58
4.807547,3.09
4.810379,2.56
4.848679,3.29
4.862778,2.6
4.874886,2.99
4.882447,2.7
4.920326,3.04
4.920662,2.76
4.923148,2.61
4.928445,2.77
4.932535,2.89
4.936319,2.64
4.937694,2.56
4.971044,3.27
4.972442,2.56
4.979200,4.25
4.997366,3.11
4.997477,3.26
4.998241,2.7
4.998926,3.77
4.999188,3.42
4.999247,4.98
5.001384,4.51
5.004273,3.32
5.005860,3.07
