mjd,mag,magerr,band
58482.122176,19.6337,0.0661,zg
58487.135231,19.5970,0.0644,zg
58491.140729,19.5157,0.0606,zg
58494.134919,19.5391,0.0616,zg
58573.512998,19.1639,0.0549,zr
58573.517870,18.9812,0.0480,zr
58573.522743,18.8136,0.0425,zr
58582.505197,18.9939,0.0484,zr
58582.510660,19.0126,0.0491,zr
58582.515648,18.9002,0.0453,zr
58582.520637,19.0936,0.0521,zr
58601.496146,19.0418,0.0502,zr
58607.476921,19.7985,0.0748,zg
58607.495417,19.0261,0.0496,zr
58617.471042,19.7985,0.0748,zg
58628.464745,19.9301,0.0827,zg
58628.484641,19.0356,0.0499,zr
58634.426979,19.0502,0.0505,zr
58634.451215,19.9614,0.0846,zg
58637.431806,19.1372,0.0538,zr
58637.469051,19.9386,0.0832,zg
58640.470127,19.0985,0.0523,zr
58643.447650,19.9882,0.0864,zg
58643.471169,19.1815,0.0556,zr
58646.445463,19.8897,0.0802,zg
58646.469097,19.1861,0.0558,zr
58648.377095,19.3219,0.0618,zr
58648.377546,19.1609,0.0548,zr
58648.377998,19.0416,0.0502,zr
58648.378449,19.2326,0.0578,zr
58648.378900,19.0233,0.0495,zr
58648.379352,19.1227,0.0533,zr
58648.379803,19.1627,0.0549,zr
58648.380255,19.2947,0.0605,zr
58648.380706,19.1283,0.0535,zr
58648.381157,19.1216,0.0532,zr
58648.381609,19.2392,0.0581,zr
58648.382060,19.0899,0.0520,zr
58648.382512,19.2539,0.0587,zr
58648.382963,19.1997,0.0564,zr
58648.383414,19.3048,0.0610,zr
58648.383866,19.2476,0.0584,zr
58648.384317,19.1385,0.0539,zr
58648.384769,19.3236,0.0619,zr
58648.385220,19.1232,0.0533,zr
58648.385671,19.0985,0.0523,zr
58648.386123,19.1329,0.0537,zr
58648.386574,19.0638,0.0510,zr
58648.387026,19.0583,0.0508,zr
58648.387477,19.0850,0.0518,zr
58648.387928,18.9860,0.0482,zr
58648.388380,19.1396,0.0539,zr
58648.388831,19.2244,0.0574,zr
58648.389282,19.2304,0.0577,zr
58648.389734,19.0017,0.0487,zr
58648.390185,19.2267,0.0575,zr
58648.390637,19.1422,0.0540,zr
58648.391088,19.1946,0.0562,zr
58648.391539,19.0849,0.0518,zr
58648.391991,19.1158,0.0530,zr
58648.392442,19.3626,0.0637,zr
58648.392894,19.1178,0.0531,zr
58648.393345,19.1940,0.0561,zr
58648.393796,19.0501,0.0505,zr
58648.394248,19.0872,0.0519,zr
58648.394699,19.0996,0.0524,zr
58648.395151,19.0653,0.0510,zr
58648.395602,19.2854,0.0601,zr
58648.396053,19.0712,0.0513,zr
58648.396505,19.1266,0.0534,zr
58648.396956,19.0713,0.0513,zr
58648.397407,19.1693,0.0551,zr
58648.397859,19.1123,0.0528,zr
58648.398310,19.0802,0.0516,zr
58648.398762,19.1760,0.0554,zr
58648.399224,19.2013,0.0565,zr
58648.399676,19.2141,0.0570,zr
58648.400127,19.0919,0.0521,zr
58648.400579,19.1690,0.0551,zr
58648.401030,19.0481,0.0504,zr
58648.401481,19.1609,0.0548,zr
58648.401933,19.1729,0.0553,zr
58648.402384,19.2559,0.0588,zr
58648.402836,19.0977,0.0523,zr
58648.403299,19.0469,0.0504,zr
58648.403750,19.0649,0.0510,zr
58648.404201,19.2115,0.0569,zr
58648.404641,19.0240,0.0495,zr
58648.405104,19.1686,0.0551,zr
58648.405556,19.1264,0.0534,zr
