mjd,mag,magerr,band
58797.180671,20.1979,0.1305,zg
58797.181123,20.1657,0.1278,zg
58798.257199,19.3809,0.0646,zr
58800.260289,19.4617,0.0687,zr
58806.184109,20.4574,0.1226,zg
58806.222442,19.4087,0.0660,zr
58811.137037,19.3607,0.0636,zr
58811.180602,20.2348,0.1039,zg
58814.166204,19.3344,0.0624,zr
58831.090741,19.4824,0.0698,zr
58831.113160,20.1281,0.0960,zg
58837.074595,19.4894,0.0701,zr
58838.099803,19.7399,0.0848,zr
58846.123692,19.6446,0.0789,zr
58850.151262,19.8344,0.0769,zg
58856.092986,20.2284,0.1035,zg
58859.083345,20.1749,0.0994,zg
58859.159849,19.5456,0.0732,zr
58862.121701,20.2811,0.1076,zg
58872.122998,19.7277,0.0841,zr
58875.138530,20.3342,0.1120,zg
58943.508692,19.6256,0.0778,zr
58943.513067,19.5339,0.0725,zr
58943.517454,19.5277,0.0722,zr
58987.451169,20.4087,0.1183,zg
58987.464282,19.8236,0.0904,zr
58992.470486,20.4382,0.1209,zg
58996.422431,20.3214,0.1109,zg
58996.479086,19.7929,0.0883,zr
58999.483137,19.6600,0.0798,zr
59002.446458,20.5523,0.1300,zg
59013.360556,19.7763,0.0872,zr
59016.469907,19.8608,0.0930,zr
59022.388252,20.6553,0.1369,zg
59022.471817,19.8752,0.0940,zr
59025.346354,20.4736,0.1241,zg
59028.389120,20.7090,0.1405,zg
59028.473137,19.8617,0.0931,zr
59031.442454,19.9064,0.0963,zr
59034.387894,19.7913,0.0882,zr
59037.450382,19.5605,0.0740,zr
59040.392882,19.7672,0.0866,zr
59040.466007,20.5661,0.1309,zg
59042.485637,19.7301,0.0842,zr
59043.370637,20.4632,0.1231,zg
59043.392164,19.9518,0.0997,zr
59044.481250,19.8734,0.0939,zr
59046.371794,20.6467,0.1363,zg
59046.396238,19.8939,0.0954,zr
59046.455694,19.8239,0.0904,zr
59046.491146,20.3348,0.1120,zg
59049.408646,19.9024,0.0960,zr
59049.446447,20.4847,0.1251,zg
59050.489699,19.8576,0.0928,zr
59051.387558,19.8548,0.0926,zr
59052.385081,19.8963,0.0956,zr
59052.410266,19.9219,0.0974,zr
59052.444051,20.5422,0.1293,zg
59052.494271,20.5300,0.1285,zg
59053.383866,20.5774,0.1317,zg
59054.373241,19.9072,0.0964,zr
59055.360474,19.7659,0.0865,zr
59055.398634,20.4725,0.1240,zg
59055.458588,19.8236,0.0904,zr
59056.396238,19.7545,0.0858,zr
59057.414271,20.5781,0.1317,zg
59059.353715,19.7456,0.0852,zr
59059.401285,20.6268,0.1350,zg
59059.449826,19.8667,0.0934,zr
59060.458449,19.8736,0.0939,zr
59061.306875,19.8915,0.0952,zr
59062.330370,19.8754,0.0941,zr
59062.454213,20.4443,0.1214,zg
59062.470775,19.8233,0.0904,zr
59063.305150,19.7224,0.0837,zr
59064.340868,19.8288,0.0908,zr
59065.438287,20.0845,0.1102,zr
59067.409757,20.4943,0.1260,zg
59068.372778,19.8447,0.0919,zr
59068.444664,20.3931,0.1169,zg
59069.375197,20.2718,0.1069,zg
59069.435822,19.9312,0.0981,zr
59070.340891,20.5546,0.1302,zg
59071.341516,19.9212,0.0974,zr
59071.363472,19.8530,0.0925,zr
59071.433137,20.6106,0.1339,zg
59072.386944,20.5957,0.1329,zg
59073.363542,20.5320,0.1287,zg
59075.392697,20.4575,0.1226,zg
59077.344201,20.5046,0.1268,zg
59077.384838,20.4198,0.1193,zg
59077.476597,19.7878,0.0880,zr
59078.302338,19.8213,0.0903,zr
59079.362292,19.8213,0.0903,zr
59080.321354,19.9311,0.0981,zr
59080.334907,19.8925,0.0953,zr
59080.403611,20.5468,0.1296,zg
59081.301759,20.6981,0.1397,zg
59081.392755,19.9649,0.1007,zr
59084.301968,19.8052,0.0892,zr
59084.359097,20.3707,0.1150,zg
59085.342627,20.7059,0.1403,zg
59086.345474,19.8985,0.0957,zr
59087.286262,19.7717,0.0869,zr
59087.367512,19.8876,0.0949,zr
59088.304329,20.7267,0.1416,zg
59088.387396,19.8262,0.0906,zr
59089.271030,20.5250,0.1282,zg
59090.404815,20.5174,0.1277,zg
59090.451516,19.9490,0.0995,zr
59092.269896,20.4579,0.1227,zg
59093.359236,19.7590,0.0861,zr
59093.405613,19.9377,0.0831,zg
59094.351030,19.8294,0.0908,zr
59096.302824,19.9591,0.1002,zr
59097.304109,19.6556,0.0796,zr
59097.343704,20.2302,0.1036,zg
59098.346829,19.8097,0.0895,zr
59099.322813,19.7383,0.0847,zr
59106.345370,20.0274,0.1055,zr
59107.354514,20.6498,0.1365,zg
59109.244919,19.8499,0.0923,zr
59109.301088,20.6639,0.1375,zg
59112.193785,19.9284,0.0979,zr
59112.279201,20.7686,0.1444,zg
59112.308368,20.6299,0.1352,zg
59113.288113,19.9024,0.0960,zr
59115.296643,19.9364,0.0985,zr
59115.366840,20.0067,0.1039,zr
59116.239144,20.7746,0.1448,zg
59116.341863,19.9060,0.0963,zr
59117.243102,20.7056,0.1402,zg
59118.237928,20.0380,0.1064,zr
59118.318009,19.9603,0.1003,zr
59118.368079,20.7417,0.1426,zg
59124.276713,19.9718,0.1012,zr
59125.283553,19.9459,0.0992,zr
59129.214294,19.9506,0.0996,zr
59129.298518,20.5761,0.1316,zg
59131.246354,19.9632,0.1005,zr
59131.267813,20.5326,0.1287,zg
59134.239873,20.9367,0.1557,zg
59136.200845,20.0213,0.1051,zr
59136.244618,20.6507,0.1366,zg
59138.142419,20.0188,0.1049,zr
59138.224109,20.7773,0.1450,zg
59140.185151,20.5786,0.1318,zg
59140.221481,19.9736,0.1013,zr
59144.224109,19.9888,0.1025,zr
59151.223495,19.9356,0.0985,zr
59153.119051,19.8112,0.0896,zr
59155.118588,19.9988,0.1033,zr
59155.152940,20.7105,0.1406,zg
59157.326354,19.8254,0.0905,zr
59164.181724,20.1012,0.1116,zr
59164.203900,20.7011,0.1399,zg
59167.202801,20.0005,0.1034,zr
59169.217639,21.0887,0.1658,zg
59171.117627,19.9358,0.0985,zr
59171.177824,20.7027,0.1400,zg
59173.121806,20.0148,0.1045,zr
59173.175046,20.5930,0.1327,zg
59182.111030,19.7659,0.0865,zr
59182.136701,20.2822,0.1077,zg
59184.114942,19.8287,0.0908,zr
59184.139687,20.5091,0.1271,zg
59186.121991,19.9149,0.0969,zr
59186.161562,19.9315,0.0827,zg
59188.123056,20.0556,0.1078,zr
59188.136620,20.6339,0.1355,zg
59195.163287,20.8064,0.1470,zg
59198.118438,19.8825,0.0946,zr
59198.163391,20.4739,0.1241,zg
59199.116458,19.9296,0.0980,zr
59199.117396,20.0889,0.1105,zr
59203.153576,20.5478,0.1297,zg
59203.178901,20.0446,0.1069,zr
59204.101412,20.5439,0.1294,zg
59204.131539,19.8198,0.0902,zr
59210.109942,20.0496,0.1073,zr
59218.136181,19.9215,0.0974,zr
59220.137616,20.5815,0.1320,zg
59224.118623,19.9487,0.0994,zr
59232.124444,20.5735,0.1314,zg
59232.135718,19.8754,0.0941,zr
59307.506956,20.0974,0.1113,zr
59307.509479,19.9414,0.0989,zr
59307.511991,19.8752,0.0940,zr
59307.514502,20.0363,0.1062,zr
59307.517014,20.1719,0.1176,zr
59308.504560,20.0005,0.1034,zr
59308.506528,19.8532,0.0925,zr
59308.510474,19.7935,0.0884,zr
59308.512454,19.6890,0.0816,zr
59309.506655,19.5041,0.0709,zr
59309.508623,19.7686,0.0867,zr
59309.512546,19.7517,0.0856,zr
59310.504919,19.9883,0.1025,zr
59310.506921,20.1313,0.1141,zr
59310.508935,19.9745,0.1014,zr
59310.510949,19.8811,0.0945,zr
59310.512963,19.8737,0.0939,zr
59311.503519,19.9555,0.0999,zr
59311.505532,19.7665,0.0866,zr
59311.507546,19.9627,0.1005,zr
59311.509560,20.1182,0.1130,zr
59311.511574,20.1756,0.1180,zr
59312.502072,19.8756,0.0941,zr
59312.506100,19.7162,0.0833,zr
59312.508113,19.8763,0.0941,zr
59312.510127,19.8855,0.0948,zr
59313.503623,20.0138,0.1045,zr
59313.505590,19.8548,0.0926,zr
59313.507546,20.1063,0.1120,zr
59313.509514,19.7894,0.0881,zr
59314.500602,19.8354,0.0912,zr
59314.502569,20.0907,0.1107,zr
59314.504526,20.3922,0.1384,zr
59314.506493,19.8687,0.0936,zr
59314.508449,19.8863,0.0948,zr
59316.498264,20.1136,0.1126,zr
59316.500185,20.0087,0.1041,zr
59316.502106,19.9301,0.0980,zr
59316.504028,20.3938,0.1386,zr
59316.505937,20.1323,0.1142,zr
59317.500729,19.7969,0.0886,zr
59317.502685,20.0572,0.1079,zr
59317.504653,19.9181,0.0972,zr
59320.493796,19.8681,0.0935,zr
59353.465127,19.9677,0.1009,zr
59356.385914,19.6835,0.0813,zr
59356.465579,20.6556,0.1369,zg
59359.406771,19.7924,0.0883,zr
59359.465556,20.2007,0.1013,zg
59363.406863,19.9560,0.1000,zr
59366.405312,20.0940,0.1110,zr
59366.457500,20.5126,0.1274,zg
59369.414167,21.1091,0.1672,zg
59369.452338,20.0459,0.1070,zr
59371.416285,20.5764,0.1316,zg
59371.451539,20.0215,0.1051,zr
59374.413982,20.7761,0.1449,zg
59376.411632,20.6887,0.1391,zg
59377.423646,20.1431,0.1151,zr
59377.445961,20.8661,0.1510,zg
59378.412026,20.1114,0.1124,zr
59378.428681,20.6952,0.1395,zg
59379.410509,20.0620,0.1083,zr
59382.423056,20.7441,0.1428,zg
59382.446806,19.9624,0.1005,zr
59384.365151,20.1265,0.1137,zr
59384.387917,20.7266,0.1416,zg
59385.367153,20.0409,0.1066,zr
59385.424387,21.0448,0.1629,zg
59386.408160,19.8787,0.0943,zr
59391.415289,19.9279,0.0979,zr
59394.426319,19.9864,0.1023,zr
59396.409109,20.0121,0.1043,zr
59396.444294,20.6675,0.1377,zg
59400.390208,21.0013,0.1600,zg
59400.432639,20.0604,0.1082,zr
59402.345313,20.6094,0.1338,zg
59402.403681,20.1271,0.1138,zr
59404.455220,19.9080,0.0964,zr
59408.392766,21.0469,0.1630,zg
59408.449086,20.0230,0.1052,zr
59410.408194,20.1653,0.1171,zr
59410.450729,20.7924,0.1460,zg
59412.427512,20.1347,0.1144,zr
59412.448866,20.6502,0.1365,zg
59415.405579,20.1476,0.1155,zr
59415.444618,20.9418,0.1560,zg
59418.389005,19.9426,0.0990,zr
59422.402639,20.0595,0.1081,zr
59422.445347,20.8078,0.1471,zg
59424.283403,20.8233,0.1481,zg
59424.358762,19.8873,0.0949,zr
59426.371238,20.6693,0.1378,zg
59428.329178,21.0072,0.1604,zg
59428.388912,19.9305,0.0981,zr
59430.325509,20.8871,0.1524,zg
59430.348137,20.0357,0.1062,zr
59435.365891,19.9053,0.0962,zr
59435.408137,20.6373,0.1357,zg
59440.305880,20.1969,0.1199,zr
59440.408565,20.6237,0.1348,zg
59443.307326,20.1588,0.1165,zr
59443.346458,20.9398,0.1559,zg
59453.224005,20.6018,0.1333,zg
59453.319676,20.0992,0.1114,zr
59455.244479,20.8144,0.1475,zg
59455.262986,20.0864,0.1103,zr
59459.267974,20.0248,0.1053,zr
59459.300891,20.8794,0.1518,zg
59461.245116,20.8606,0.1506,zg
59461.303241,20.1179,0.1130,zr
59463.246678,20.8384,0.1491,zg
59463.300197,20.0439,0.1069,zr
59467.223391,20.7379,0.1424,zg
59467.367743,19.9317,0.0982,zr
59469.260683,20.8208,0.1479,zg
59469.368426,20.0897,0.1106,zr
59471.241273,19.9492,0.0995,zr
59471.287303,20.7818,0.1453,zg
59473.367477,21.0354,0.1623,zg
59473.427407,20.0588,0.1081,zr
59476.331632,19.7799,0.0875,zr
59478.242778,20.0673,0.1088,zr
59480.266759,20.1229,0.1134,zr
59485.243785,20.1174,0.1129,zr
59485.264502,20.8460,0.1496,zg
59487.262234,20.6121,0.1340,zg
59487.325810,20.1180,0.1130,zr
59491.218276,20.0487,0.1073,zr
59497.310012,20.2217,0.1221,zr
59502.264687,20.2984,0.1292,zr
59504.286806,19.9374,0.0986,zr
59517.141875,20.2190,0.1218,zr
59517.201319,20.8072,0.1470,zg
59520.242454,20.1898,0.1192,zr
59520.310509,20.6579,0.1371,zg
59522.199005,20.1763,0.1180,zr
59522.226435,21.0102,0.1606,zg
59524.157245,20.9895,0.1592,zg
59524.222812,20.2618,0.1258,zr
59526.133669,20.2965,0.1290,zr
59526.205359,20.8514,0.1500,zg
59531.160926,20.2678,0.1263,zr
59538.241852,20.1284,0.1139,zr
59542.112870,21.0366,0.1623,zg
59542.157188,20.3250,0.1318,zr
59677.506412,19.9288,0.0979,zr
59677.508924,20.0162,0.1046,zr
59678.497928,20.1112,0.1124,zr
59678.500417,20.3390,0.1331,zr
59678.502917,20.3026,0.1296,zr
59678.505428,20.2077,0.1208,zr
59678.507940,20.0018,0.1035,zr
59679.504329,20.0144,0.1045,zr
59679.506829,20.3168,0.1310,zr
59682.498009,20.2555,0.1252,zr
59682.500440,19.9071,0.0963,zr
59683.492604,20.1267,0.1137,zr
59683.495046,20.5365,0.1525,zr
59683.497477,20.1443,0.1152,zr
59683.499907,20.1932,0.1195,zr
59683.502349,19.8732,0.0939,zr
59684.493241,20.2828,0.1277,zr
59684.498206,20.0538,0.1077,zr
59687.493044,19.7222,0.0837,zr
59690.485313,19.8237,0.0904,zr
59690.490220,20.0803,0.1098,zr
59707.465023,19.8519,0.0924,zr
59718.435590,20.1299,0.1140,zr
59718.450764,20.3788,0.1371,zr
59731.449213,20.3087,0.1302,zr
59733.430393,20.4115,0.1404,zr
59733.452755,21.2577,0.1771,zg
59735.411053,20.3342,0.1327,zr
59735.453461,21.4684,0.1912,zg
59738.434363,20.3313,0.1324,zr
59740.450694,20.3902,0.1382,zr
59742.449583,20.8408,0.1493,zg
59749.362639,20.1862,0.1189,zr
59751.426111,20.4241,0.1416,zr
59755.427998,21.0291,0.1618,zg
59755.451019,20.4826,0.1477,zr
59757.383495,20.9611,0.1573,zg
59757.427465,21.3880,0.1858,zg
59759.408900,20.3060,0.1299,zr
59759.445243,21.2648,0.1776,zg
59763.349178,20.3369,0.1329,zr
59763.401319,20.9824,0.1587,zg
59765.365741,20.5394,0.1527,zr
59765.409039,21.2896,0.1792,zg
59768.385162,21.0414,0.1627,zg
59768.456667,21.0931,0.1661,zg
59770.414676,21.0082,0.1604,zg
59772.390278,20.6391,0.1606,zr
59772.445810,20.2444,0.1242,zr
59774.408808,20.7970,0.1730,zr
59776.390613,20.7307,0.1678,zr
59776.453947,20.4003,0.1392,zr
59779.387141,20.4358,0.1428,zr
59779.441898,20.3882,0.1380,zr
59781.368391,21.0924,0.1661,zg
59783.341505,21.2648,0.1776,zg
59785.343924,21.2656,0.1776,zg
59785.384167,20.4689,0.1463,zr
59787.342662,20.6452,0.1610,zr
59787.366458,20.9532,0.1568,zg
59789.380579,21.3923,0.1861,zg
59793.308669,21.2397,0.1759,zg
59795.325058,21.5483,0.1965,zg
59795.386678,20.7140,0.1665,zr
59798.363079,20.4832,0.1478,zr
59798.386019,21.4124,0.1874,zg
59801.351146,20.9657,0.1863,zr
59803.355764,20.0893,0.1106,zr
59803.447280,20.6083,0.1337,zg
59806.272558,20.6918,0.1393,zg
59808.344039,20.5138,0.1507,zr
59810.286435,20.7938,0.1728,zr
59812.288750,21.4013,0.1867,zg
59812.325347,20.6210,0.1591,zr
59814.325127,21.3813,0.1853,zg
59816.318009,20.6155,0.1587,zr
59818.303831,20.6217,0.1592,zr
59820.275625,21.2453,0.1763,zg
59822.304178,20.6417,0.1608,zr
59822.330394,21.1103,0.1672,zg
59824.269005,21.4296,0.1886,zg
59824.306285,20.3830,0.1375,zr
59826.286262,20.3520,0.1344,zr
59829.436435,20.6288,0.1597,zr
59839.222662,21.0612,0.1640,zg
59839.290671,20.9216,0.1547,zg
59841.206192,21.2627,0.1774,zg
59843.266528,20.7019,0.1655,zr
59845.257882,20.6263,0.1595,zr
59847.242836,20.6414,0.1607,zr
59847.301273,21.0628,0.1641,zg
59849.224734,21.1546,0.1702,zg
59851.184363,20.6563,0.1619,zr
59853.261296,20.4277,0.1420,zr
59853.321042,21.4091,0.1872,zg
59855.285613,20.6099,0.1582,zr
59855.320347,21.1671,0.1710,zg
59857.296412,20.9138,0.1541,zg
59859.220046,20.2742,0.1269,zr
59860.185637,20.2142,0.1195,zr
59865.160208,20.1757,0.1180,zr
59865.223530,20.3900,0.1167,zg
59867.200741,20.3660,0.1358,zr
59870.219502,20.3439,0.1336,zr
59872.200637,20.3466,0.1339,zr
59874.220127,21.0046,0.1602,zg
59877.242153,20.8220,0.1480,zg
59877.309086,20.2712,0.1267,zr
59879.241366,21.0571,0.1637,zg
59879.284201,20.2913,0.1285,zr
59880.145891,20.3802,0.1345,zr
59881.246273,20.3884,0.1380,zr
59894.112373,20.5297,0.1519,zr
59896.141539,20.4831,0.1478,zr
59898.244722,20.2462,0.1243,zr
59902.158877,20.1710,0.1176,zr
59902.183935,20.7676,0.1444,zg
59904.114062,20.4449,0.1438,zr
59906.159919,20.3986,0.1390,zr
59906.179201,20.8662,0.1510,zg
59910.163507,20.1351,0.1144,zr
59922.198391,20.3584,0.1350,zr
59924.142488,20.5799,0.1559,zr
59924.155729,20.8593,0.1505,zg
59935.139062,20.2819,0.1277,zr
59935.177083,21.0344,0.1622,zg
60042.499259,20.0038,0.1037,zr
60042.506690,20.0370,0.1063,zr
60043.499815,20.0056,0.1038,zr
60044.497384,20.7174,0.1667,zr
60044.499873,20.4194,0.1412,zr
60044.504826,20.4100,0.1402,zr
60044.507303,20.3975,0.1389,zr
60045.496088,20.5454,0.1532,zr
60045.498565,20.5491,0.1534,zr
60045.501042,20.5017,0.1497,zr
60045.505995,20.1951,0.1197,zr
60046.501157,20.0633,0.1084,zr
60049.491377,20.3789,0.1371,zr
60049.493843,20.4439,0.1437,zr
60049.498785,20.3416,0.1334,zr
60050.491667,20.2738,0.1269,zr
60050.494144,20.2003,0.1202,zr
60050.496609,20.3300,0.1323,zr
60050.499074,20.3323,0.1325,zr
60050.501539,20.3599,0.1352,zr
60051.490718,20.2091,0.1210,zr
60051.493183,20.2634,0.1259,zr
60051.495660,20.5455,0.1532,zr
60051.498125,20.4366,0.1429,zr
60051.500602,20.5512,0.1536,zr
60054.486528,20.2282,0.1227,zr
60054.489005,20.3826,0.1374,zr
60054.491482,20.3507,0.1343,zr
60054.493947,20.4099,0.1402,zr
60054.496412,20.3561,0.1348,zr
60055.486447,20.4683,0.1462,zr
60055.488901,20.8016,0.1734,zr
60055.491354,20.4898,0.1485,zr
60055.493808,20.3902,0.1382,zr
60055.496273,20.5478,0.1533,zr
60103.404248,20.3105,0.1304,zr
60108.452072,20.4204,0.1413,zr
60110.454155,20.5424,0.1529,zr
60113.431285,21.2351,0.1756,zg
60113.450776,20.5022,0.1497,zr
60116.412824,20.9721,0.1580,zg
60119.435463,20.7439,0.1428,zg
60119.448727,20.7025,0.1656,zr
60121.421123,21.0840,0.1655,zg
60121.448507,20.2016,0.1203,zr
60123.454444,20.6184,0.1589,zr
60125.450498,20.5180,0.1510,zr
60133.346331,20.9694,0.1578,zg
60133.387164,20.3405,0.1333,zr
60135.409711,20.9808,0.1586,zg
60135.450694,20.5545,0.1539,zr
60137.380729,21.4548,0.1902,zg
60137.406146,20.4263,0.1419,zr
60139.372350,20.3964,0.1388,zr
60139.436620,21.2262,0.1750,zg
60141.411470,20.5210,0.1512,zr
60144.370185,20.5650,0.1547,zr
60144.430752,21.1681,0.1711,zg
60145.407523,20.5050,0.1465,zr
60146.363183,20.7786,0.1716,zr
60146.432049,20.5020,0.1497,zr
60148.388530,20.5607,0.1544,zr
60148.444109,21.1422,0.1694,zg
60150.386875,20.5986,0.1574,zr
60150.427870,21.4548,0.1902,zg
60152.409873,20.6079,0.1581,zr
60159.389618,20.5910,0.1568,zr
60162.347407,20.6128,0.1585,zr
60169.324630,20.6975,0.1652,zr
60171.409306,20.7186,0.1668,zr
60174.337917,21.3277,0.1818,zg
60174.365706,20.6529,0.1616,zr
60179.342893,21.2413,0.1760,zg
60179.394248,20.6782,0.1636,zr
60181.363542,21.7158,0.2077,zg
60181.410833,20.5179,0.1510,zr
60183.391493,20.7406,0.1686,zr
60183.409236,21.4144,0.1875,zg
60185.304954,20.4578,0.1420,zr
60193.404780,20.6410,0.1569,zr
60194.218866,20.6226,0.1593,zr
60194.287106,21.4547,0.1902,zg
60196.367928,20.6453,0.1610,zr
60196.388808,21.0588,0.1994,zg
60200.415984,20.5629,0.1545,zr
60200.476007,21.1670,0.1710,zg
60202.226458,21.0359,0.1623,zg
60202.262280,20.8048,0.1736,zr
60204.326690,21.2021,0.1734,zg
60204.398877,20.5819,0.1560,zr
60205.284525,21.5215,0.2348,zg
60206.220868,20.4974,0.1493,zr
60206.302859,21.4513,0.1900,zg
60212.253762,21.2331,0.1754,zg
60214.281424,20.3773,0.1369,zr
60220.305891,20.5238,0.1515,zr
60222.238588,20.7296,0.1677,zr
60224.265683,21.6500,0.2033,zg
60230.284942,20.8677,0.1786,zr
60232.175822,20.5256,0.1516,zr
60232.217558,21.3118,0.1807,zg
60234.160127,20.6906,0.1646,zr
60234.220810,21.0749,0.1649,zg
60236.203206,21.0129,0.1608,zg
60238.177847,20.6677,0.1628,zr
60238.203322,21.3030,0.2181,zg
60238.241493,21.1542,0.1702,zg
60239.206169,20.9457,0.1907,zg
60242.241157,20.3472,0.1339,zr
60244.238819,20.2277,0.1331,zg
60245.196829,20.1615,0.1167,zr
60250.241620,20.3837,0.1375,zr
60252.157685,20.6517,0.1615,zr
60254.137222,20.7156,0.1666,zr
60254.175764,21.2479,0.1764,zg
60259.123148,20.5842,0.1562,zr
60259.157326,21.2571,0.1770,zg
60261.194768,21.2191,0.1745,zg
60284.138113,20.6232,0.1593,zr
60290.164711,20.4570,0.1450,zr
60404.509757,20.3613,0.1328,zr
60433.445312,20.8703,0.1788,zr
60462.404537,20.4612,0.1455,zr
60462.452303,21.3042,0.1802,zg
60464.429942,20.4839,0.1479,zr
60464.451389,21.3783,0.1851,zg
60475.475787,20.6935,0.1648,zr
60477.369097,20.4488,0.1442,zr
60477.425440,21.6420,0.2027,zg
60482.389560,20.4877,0.1483,zr
60482.432639,20.5697,0.1312,zg
60484.365694,20.4755,0.1470,zr
60487.429560,20.4308,0.1423,zr
60490.412072,20.4883,0.1483,zr
60499.409769,20.3943,0.1386,zr
60499.450891,21.3426,0.1828,zg
60502.383056,20.6232,0.1593,zr
60502.409387,21.0138,0.1608,zg
60504.385046,20.5708,0.1552,zr
60504.429132,21.2150,0.1742,zg
60507.370671,20.5736,0.1554,zr
60510.371331,20.4765,0.1471,zr
60513.325069,20.2553,0.1252,zr
60518.349803,20.6150,0.1586,zr
60520.403137,20.5152,0.1508,zr
60522.344525,21.4937,0.1928,zg
60522.405312,20.9142,0.1823,zr
60525.321782,21.1681,0.1711,zg
60525.407188,20.7831,0.1719,zr
60527.368646,20.7215,0.1671,zr
60529.364803,20.8297,0.1756,zr
60531.289329,20.6304,0.1599,zr
60531.345393,21.5088,0.1938,zg
60536.367639,20.7605,0.1701,zr
60538.389711,20.3860,0.1378,zr
60540.282662,20.3573,0.1349,zr
60544.298808,20.4458,0.1439,zr
60547.260104,20.6511,0.1615,zr
60549.305162,21.5084,0.1938,zg
60549.347963,20.4043,0.1396,zr
60551.261019,20.5594,0.1543,zr
60551.331285,21.0369,0.1624,zg
60553.283403,20.6022,0.1576,zr
60553.361458,21.3588,0.1838,zg
60556.260231,21.2350,0.1756,zg
60556.277164,20.5274,0.1517,zr
60558.320799,20.4444,0.1437,zr
60562.279722,20.8125,0.1742,zr
60564.284306,21.3323,0.1821,zg
60564.372882,20.5470,0.1533,zr
60566.363970,20.7267,0.1675,zr
60572.309618,20.4397,0.1432,zr
60575.159919,21.3162,0.1810,zg
60575.197917,20.6453,0.1610,zr
60577.249178,21.5667,0.1977,zg
60579.244780,20.6686,0.1629,zr
60581.454387,20.5782,0.1557,zr
60592.159769,20.6290,0.1598,zr
60592.222269,21.3552,0.1836,zg
60594.201123,20.3998,0.1392,zr
60597.286956,20.5259,0.1516,zr
60604.203148,20.4208,0.1413,zr
60606.161285,20.7005,0.1654,zr
60606.213056,21.2070,0.1737,zg
60608.177477,20.5144,0.1507,zr
60614.201806,20.5420,0.1529,zr
60620.134109,20.7979,0.1731,zr
60636.225046,20.7561,0.1698,zr
60639.183125,20.3873,0.1379,zr
60648.158079,20.7558,0.1698,zr
60648.177928,21.2672,0.1777,zg
60650.236944,20.6858,0.1642,zr
60652.097593,21.0201,0.1612,zg
60652.141875,20.5942,0.1570,zr
60665.142396,20.4937,0.1489,zr
60667.098901,21.0105,0.1606,zg
60675.100718,21.2807,0.1786,zg
60675.139167,20.2874,0.1282,zr
60677.138206,20.5545,0.1539,zr
60679.144317,20.5701,0.1551,zr
60686.115741,20.6961,0.1650,zr
60772.502431,20.3255,0.1294,zr
60772.505336,20.4521,0.1415,zr
60797.427512,20.3083,0.1302,zr
60797.467836,21.1985,0.1731,zg
60817.424398,20.5180,0.1510,zr
60824.451782,20.5777,0.1557,zr
60832.402269,21.1135,0.1675,zg
60832.464931,20.4399,0.1433,zr
60843.429387,20.5423,0.1529,zr
60843.450741,20.7377,0.1424,zg
60846.432894,20.6950,0.1650,zr
60848.423657,21.1125,0.1674,zg
60851.372384,20.3780,0.1370,zr
60851.468900,20.3924,0.1384,zr
60854.415162,20.5633,0.1546,zr
60856.364931,20.5107,0.1504,zr
60856.437882,21.1910,0.1726,zg
60858.447002,20.5594,0.1543,zr
60876.327407,21.7232,0.2082,zg
60876.382604,20.6236,0.1593,zr
60878.361343,21.2253,0.1749,zg
60878.400336,20.4116,0.1404,zr
60880.424387,21.2755,0.1783,zg
60882.323530,20.5549,0.1539,zr
60882.391331,21.1527,0.1701,zg
60884.406979,20.5527,0.1537,zr
60887.319583,21.1144,0.1675,zg
60887.351840,20.4891,0.1484,zr
60889.327315,20.4930,0.1488,zr
60892.411736,20.5359,0.1524,zr
60897.415139,20.5343,0.1523,zr
60902.361238,20.5501,0.1535,zr
60904.282569,21.4489,0.1898,zg
60904.340336,20.5544,0.1539,zr
60908.340046,21.1592,0.1705,zg
60910.301956,20.7618,0.1702,zr
60913.260347,20.7231,0.1672,zr
60916.292060,20.4586,0.1452,zr
60916.324294,21.4271,0.1884,zg
60918.352847,20.6523,0.1616,zr
60924.385046,20.7513,0.1694,zr
60928.243438,20.6257,0.1595,zr
60933.219271,20.5878,0.1565,zr
60933.262928,21.3767,0.1850,zg
60935.257651,20.4038,0.1396,zr
60939.231100,20.7353,0.1681,zr
60939.325197,21.5848,0.1989,zg
60942.260012,21.2866,0.1790,zg
60949.306354,20.4099,0.1402,zr
60960.320984,20.5083,0.1502,zr
60965.283021,20.4623,0.1456,zr
60967.226493,21.0037,0.1601,zg
60967.268819,20.6887,0.1645,zr
