# source,KS1731-260
# provenance,"Merritt et al. 2016, ApJ 833, 186, Table 1 (redshift-corrected kT_eff^inf; t0 = MJD 51930.5, last outburst detection, Cackett et al. 2006)."
# ingest,transcribed
# notes,Crust reached thermal equilibrium with the core by ~3200 d (kTeff floor ~64 eV).
t_days_since_outburst,kT_eff_eV,err
64.600,104.6,1.3
235.200,89.5,1.03
751.100,76.4,1.8
929.000,73.8,1.9
1500.000,71.7,1.4
1582.400,70.3,1.9
3039.200,64.5,1.8
5311.600,64.4,1.2
