Table 1 
Properties of FRBs and Host Galaxies


FRB Name	Redshift	DM	DM_exc	tau_exc	i	Offset	Area	${\rm{log}}(M/{M}_{\odot })$	SFR	${\rm{log}}({{\rm{sSFR}}/{\rm{yr}}}^{-1})$	References	Quality	
		(pc cm^-3)	(pc cm^-3)	(ms)	(deg)	(kpc)	(kpc^2)		(M_sun yr^-1)				
		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	
20200430A	0.16	380.25	353.24	43.20	43.88	3.00	67.32 +or- 0.64	9.19 +or- 0.13	0.39 +or- 0.38	-9.64 +or- 0.59	(4)	17	
20191001A	0.234	507.90	463.19	11.74	53.47	11.00	185.68 +or- 2.18	10.69 +or- 0.16	15.11 +or- 11.17	-9.51 +or- 0.31	(1)	17	
20190714A	0.2365	504.13	466.15	17.20	51.10	1.90	99.48 +or- 6.43	10.03 +or- 0.11	3.68 +or- 1.43	-9.45 +or- 0.25	(0)	17	
20190611B	0.378	321.40	264.19	3.64	cdots	11.00	cdots	cdots	cdots	cdots	cdots	17	
20190711A	0.522	593.10	537.18	24.70	cdots	3.20	cdots	cdots	cdots	cdots	cdots	17	
20200223B	0.0602	201.80	156.20	2.70	cdots	cdots	cdots	cdots	cdots	cdots	cdots	18	
20191106C	0.10775	332.20	307.20	10.00	cdots	cdots	cdots	cdots	cdots	cdots	cdots	18	
20190110C	0.12244	221.60	184.50	1.50	cdots	cdots	cdots	cdots	cdots	cdots	cdots	18	
20190614D	0.63	959.20	875.67	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	19	
20220207C	0.04304	262.38	183.08	cdots	79.94	2.21	50.11 +or- 1.29	10.39 +or- 0.21	0.01 +or- 1.08	-12.42 +or- 5.90	(0)	20	
20220920A	0.15824	314.99	274.69	cdots	26.47	7.32	203.18 +or- 0.24	10.24 +or- 0.11	4.67 +or- 1.88	-9.57 +or- 0.25	(0)	20	
